"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales",""
"The Chronicles of Narnia: Prince Caspian","DS","2008","Action","190","10","NA","20","210","54","2","NA","NA","NA","0.034479927756342",""
"The Magic School Bus: Oceans","DS","2011","Adventure","200","NA","NA","20","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Hidden Mysteries: Buckingham Palace","DS","2010","Puzzle","130","60","NA","20","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus","DS","2011","Strategy","100","30","70","10","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Super Robot Taisen K","DS","2009","Strategy","NA","NA","210","NA","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Tony Hawk's Motion","DS","2008","Sports","190","NA","NA","20","210","39","NA","NA","NA","NA","0.034479927756342",""
"Disney's Planes","DS","2013","Simulation","110","80","NA","20","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Wacky Races: Crash & Dash","DS","2008","Racing","190","NA","NA","10","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Heisei Kyouiku linkai DS","DS","2006","Misc","NA","NA","210","NA","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Discovery Kids: Pony Paradise","DS","2009","Simulation","190","NA","NA","10","210","NA","NA","NA","NA","NA","0.034479927756342",""
"Wedding Dash","DS","2009","Action","190","NA","NA","10","200","NA","NA","NA","NA","NA","0.032838026434611",""
"Sloane to MacHale no Nazo no Monogatari","DS","2009","Puzzle","NA","NA","200","NA","200","NA","NA","NA","NA","NA","0.032838026434611",""
"Deal or No Deal: The Banker is Back!","DS","2008","Misc","NA","200","NA","NA","200","NA","NA","NA","NA","NA","0.032838026434611",""
"Ni Hao, Kai-lan: New Year's Celebration","DS","2009","Misc","190","NA","NA","10","200","NA","NA","NA","NA","NA","0.032838026434611",""
"Treasure World","DS","2009","Simulation","180","NA","NA","10","200","68","4","NA","NA","NA","0.032838026434611",""
"Press Your Luck 2010 Edition","DS","2009","Misc","180","NA","NA","10","200","NA","NA","NA","NA","NA","0.032838026434611",""
"Wizards of Waverly Place: Spellbound","DS","2010","Misc","160","30","NA","10","200","NA","NA","NA","NA","NA","0.032838026434611",""
"The Cheetah Girls: Passport to Stardom","DS","2008","Misc","180","NA","NA","10","200","NA","NA","NA","NA","NA","0.032838026434611",""
"My Secret World by Imagine","DS","2008","Misc","NA","200","NA","NA","200","NA","NA","88","5","NA","0.032838026434611",""
"The Amazing Spider-Man (Console Version)","DS","2012","Action","150","30","NA","10","200","NA","NA","NA","NA","NA","0.032838026434611",""
"DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan","DS","2006","Misc","NA","NA","200","NA","200","NA","NA","NA","NA","NA","0.032838026434611",""
"Mahjongg Mysteries: Ancient Egypt","DS","2010","Puzzle","70","110","NA","20","200","NA","NA","NA","NA","NA","0.032838026434611",""
"CSI: Unsolved!","DS","2010","Adventure","130","50","NA","20","200","NA","NA","NA","NA","NA","0.032838026434611",""
"The Naked Brothers Band: The Video Game","DS","2008","Misc","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Chronicles of Mystery: Curse of the Ancient Temple","DS","2009","Adventure","70","100","NA","20","190","57","7","NA","NA","NA","0.031196125112881",""
"Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS","DS","2005","Action","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Iron Chef America: Supreme Cuisine","DS","2008","Simulation","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Power Pro Kun Pocket 12","DS","2009","Sports","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Petz Pony: Beauty Pageant","DS","2009","Simulation","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Dream Salon","DS","2009","Misc","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Barbie Fashion Show: An Eye for Style","DS","2008","Misc","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"101-in-1 Explosive Megamix","DS","2008","Puzzle","50","120","NA","20","190","46","3","NA","NA","NA","0.031196125112881",""
"Scene It? Twilight","DS","2010","Misc","110","60","NA","20","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Tokimeki Memorial Girl's Side 3rd Story","DS","2010","Adventure","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Tottadoo! Yoiko no Mujintou Seikatsu","DS","2008","Adventure","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Pro Yakyuu Team o Tsukurou!","DS","2008","Sports","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Mystery Tales of Time Travel","DS","2010","Puzzle","10","150","NA","20","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Sudoku Gridmaster (JP sales)","DS","2006","Puzzle","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Daigasso! Band Brothers","DS","2004","Misc","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Momotarou Dentetsu World","DS","2010","Misc","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Farmtopia","DS","2010","Simulation","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Magical ZhuZhu Princess: Carriages & Castles","DS","2011","Simulation","130","40","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Penguin no Mondai X: Tenkuu no 7 Senshi","DS","2009","Action","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Face Training","DS","2007","Misc","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.031196125112881",""
"The Bee Game","DS","2007","Adventure","170","NA","NA","10","190","NA","NA","NA","NA","NA","0.031196125112881",""
"Camping Mama: Outdoor Adventures","DS","2011","Simulation","120","50","NA","20","180","50","5","NA","NA","NA","0.02955422379115",""
"The Smurfs 2","DS","2013","Platform","NA","170","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Imagine: Babyz Fashion","DS","2009","Simulation","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Active Health with Carol Vorderman","DS","2009","Sports","NA","180","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Nep League DS","DS","2007","Sports","NA","NA","180","NA","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Happy Cooking","DS","2006","Simulation","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Jewel Master: Cradle of Athena","DS","2010","Puzzle","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Hidden Mysteries: Vampire Secrets","DS","2010","Adventure","60","110","NA","20","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Chaotic: Shadow Warriors","DS","2009","Action","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Mahjong: Journey Quest for Tikal","DS","2008","Puzzle","150","20","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Shrek SuperSlam","DS","2005","Action","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Jeopardy!","DS","2010","Misc","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Might & Magic: Clash of Heroes","DS","2009","Role-Playing","150","20","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Chuck E. Cheese's Party Games","DS","2010","Misc","170","NA","NA","10","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Hello Kitty: Birthday Adventures","DS","2010","Adventure","60","100","NA","20","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Escape The Museum","DS","2010","Adventure","40","120","NA","20","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Tales of the Tempest","DS","2006","Role-Playing","NA","NA","180","NA","180","NA","NA","NA","NA","NA","0.02955422379115",""
"SimCity Creator (JP sales)","DS","2008","Simulation","NA","NA","180","NA","180","NA","NA","NA","NA","NA","0.02955422379115",""
"Nancy Drew: The Hidden Staircase","DS","2008","Adventure","160","NA","NA","10","180","NA","NA","60","6","NA","0.02955422379115",""
"Fancy Nancy: Tea Party Time!","DS","2010","Adventure","160","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Petz: Horseshoe Ranch","DS","2009","Adventure","160","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"SaGa 2: Hihou Densetsu - Goddess of Destiny","DS","2009","Role-Playing","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Super Robot Taisen L","DS","2010","Strategy","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Professional Fisherman's Tour: Northern Hemisphere","DS","2007","Sports","160","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Kekkaishi: Karasumori Ayakashi Kidan","DS","2007","Action","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Backyard Sports Football: Rookie Rush","DS","2010","Sports","160","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"I Spy: Castle","DS","2011","Puzzle","160","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Tamagotchi no Narikiri Challenge","DS","2010","Action","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Jewel Match","DS","2010","Puzzle","50","110","NA","20","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Lost in Blue 3","DS","2007","Adventure","90","20","60","10","170","59","9","NA","NA","NA","0.02791232246942",""
"Horrid Henry: Missions of Mischief","DS","2010","Adventure","10","140","NA","20","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Pictionary","DS","2010","Puzzle","90","60","NA","20","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Broken Sword: Shadows of the Templars - The Director's Cut","DS","2009","Adventure","70","80","NA","20","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Camp Rock: The Final Jam","DS","2010","Misc","140","20","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"My French Coach","DS","2007","Misc","140","10","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Densetsu no Stafi 4","DS","2006","Platform","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Magical Starsign (US sales)","DS","2006","Role-Playing","140","20","NA","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Learning to Spell","DS","2010","Misc","160","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"TRON: Evolution","DS","2010","Action","110","40","NA","10","170","58","5","NA","NA","NA","0.02791232246942",""
"Sudoku Gridmaster","DS","2006","Puzzle","130","20","NA","10","170","62","4","NA","NA","NA","0.02791232246942",""
"Squeeballs Party","DS","2009","Puzzle","150","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Ringling Bros. and Barnum & Bailey: Circus Friends","DS","2009","Action","150","NA","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Pac-Man World 3","DS","2005","Platform","150","NA","NA","10","170","44","8","NA","NA","NA","0.02791232246942",""
"TOEIC Test Training DS","DS","2007","Misc","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.02791232246942",""
"ZhuZhu Puppies","DS","2011","Simulation","120","30","NA","10","170","NA","NA","NA","NA","NA","0.02791232246942",""
"Easy Piano","DS","2009","Misc","40","110","NA","20","160","52","4","NA","NA","NA","0.026270421147689",""
"TransFormers Animated: The Game","DS","2008","Action","150","NA","NA","10","160","69","5","NA","NA","NA","0.026270421147689",""
"Disney Friends","DS","2007","Simulation","120","30","NA","10","160","NA","NA","73","4","NA","0.026270421147689",""
"Pen 1 Grand Prix: Penguin no Mondai Special","DS","2009","Fighting","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Disney's American Dragon Jake Long: Attack of the Dark Dragon","DS","2006","Action","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"San Goku Shi Taisen DS","DS","2007","Strategy","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.026270421147689",""
"DS Rakubiki Jiten","DS","2005","Misc","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Tak: Mojo Mistake","DS","2008","Action","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Rio","DS","2011","Misc","120","30","NA","10","160","59","5","NA","NA","NA","0.026270421147689",""
"Finding Nemo: Escape to the Big Blue","DS","2006","Action","120","30","NA","10","160","66","5","NA","NA","NA","0.026270421147689",""
"Minna no DS Seminar: Kanpeki Kanji Ryoku","DS","2006","Misc","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Our House","DS","2009","Strategy","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Take A Break's: Puzzle Master","DS","2009","Puzzle","NA","150","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Ener-G: Dance Squad","DS","2008","Sports","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Solitaire Overload Plus","DS","2010","Misc","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Burger Island","DS","2008","Action","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Left Brain Right Brain: Use Both Hands Train Both Sides","DS","2007","Misc","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Around the World in 80 Days","DS","2010","Action","NA","140","NA","20","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Imagine: Ice Champions","DS","2007","Sports","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Dragon Ball: Origins 2","DS","2010","Action","50","10","80","10","160","70","22","NA","NA","NA","0.026270421147689",""
"Rudolph the Red-Nosed Reindeer","DS","2010","Action","150","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Bomberman Land Touch! 2","DS","2007","Puzzle","130","NA","10","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Monster House","DS","2006","Adventure","140","NA","NA","10","160","62","4","NA","NA","NA","0.026270421147689",""
"Ener-G Horse Riders","DS","2008","Sports","140","10","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Rondo of Swords (US sales)","DS","2007","Role-Playing","160","NA","NA","NA","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Imagine: Music Fest","DS","2009","Simulation","140","NA","NA","10","160","NA","NA","NA","NA","NA","0.026270421147689",""
"Just Sing!","DS","2009","Misc","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Chessmaster: The Art of Learning","DS","2007","Misc","120","30","NA","10","150","NA","NA","67","NA","NA","0.024628519825958",""
"My Baby 3 & Friends","DS","2010","Simulation","120","20","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Dragon Ball Z: Harukanaru Densetsu (JP sales)","DS","2007","Role-Playing","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Scripps Spelling Bee","DS","2010","Simulation","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Go, Diego, Go! Safari Rescue","DS","2007","Adventure","140","10","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Doctor Who: Evacuation Earth","DS","2010","Adventure","NA","130","NA","20","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Bigfoot: Collision Course","DS","2009","Racing","140","NA","NA","10","150","26","4","NA","NA","NA","0.024628519825958",""
"Sonny with a Chance","DS","2010","Action","120","20","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Major League Baseball 2K10","DS","2010","Sports","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Hot Wheels: Battle Force 5","DS","2009","Racing","120","20","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Ice Age 2: The Meltdown","DS","2006","Platform","130","10","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Farm Frenzy: Animal Country","DS","2009","Simulation","130","10","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Build-A-Bear Workshop: Welcome to Hugsville","DS","2010","Misc","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Countdown: The Game","DS","2009","Puzzle","NA","140","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Kids Learn Math: A+ Edition","DS","2011","Misc","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Petz: Dogz Talent Show","DS","2009","Simulation","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Brain Boost: Gamma Wave","DS","2005","Puzzle","140","NA","NA","10","150","40","2","NA","NA","NA","0.024628519825958",""
"The Incredibles: Rise of the Underminer","DS","2005","Action","130","10","NA","10","150","54","6","NA","NA","NA","0.024628519825958",""
"The Quest Trio","DS","2008","Puzzle","130","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Power Pro Kun Pocket 9","DS","2006","Sports","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Space Camp","DS","2009","Action","140","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Yu-Gi-Oh! Nightmare Troubadour (US sales)","DS","2005","Action","150","NA","NA","NA","150","NA","NA","NA","NA","NA","0.024628519825958",""
"SpongeBob's Truth or Square","DS","2009","Action","70","70","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Tamagotchi no Narikiri Channel","DS","2009","Role-Playing","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Victorious: Hollywood Arts Debut","DS","2011","Misc","130","10","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Shin Chan: Â¡Aventuras de Cine!","DS","2008","Platform","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.024628519825958",""
"SpongeBob's Boating Bash","DS","2010","Misc","130","NA","NA","10","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Tamagotchi Collection","DS","2011","Misc","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.024628519825958",""
"Tamagotchi no Appare! Niji Venture","DS","2007","Role-Playing","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"QuickSpot","DS","2006","Misc","10","NA","130","NA","140","68","8","NA","NA","NA","0.022986618504228",""
"Okaeri! Chibi-Robo! Happy Richie Oosouji","DS","2009","Adventure","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Super Robot Taisen OG Saga: Endless Frontier (JP sales)","DS","2008","Role-Playing","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"SafeCracker: The Ultimate Puzzle Adventure","DS","2009","Puzzle","70","60","NA","10","140","43","4","NA","NA","NA","0.022986618504228",""
"Balloon Pop","DS","2009","Puzzle","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Heroes of Mana","DS","2007","Strategy","70","10","50","10","140","66","32","NA","NA","NA","0.022986618504228",""
"Diner Dash: Flo on the Go","DS","2009","Puzzle","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Cake Mania 3","DS","2009","Simulation","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Hidden Mysteries: Salem Secrets - Witch Trials of 1692","DS","2010","Puzzle","90","40","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Jewel Quest Solitaire","DS","2009","Puzzle","NA","130","NA","20","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Super Dodgeball Brawlers","DS","2008","Sports","130","NA","NA","10","140","65","2","NA","NA","NA","0.022986618504228",""
"Fast Food Panic","DS","2010","Simulation","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Naruto Shippuden: Ninja Destiny 3","DS","2006","Fighting","NA","10","130","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"MX vs. ATV Reflex","DS","2009","Racing","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Hero's Saga Laevatein Tactics","DS","2008","Role-Playing","130","NA","NA","10","140","62","NA","NA","NA","NA","0.022986618504228",""
"Naruto RPG 2: Chidori vs Rasengan","DS","2005","Role-Playing","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Arctic Tale","DS","2007","Adventure","130","NA","NA","10","140","38","4","NA","NA","NA","0.022986618504228",""
"Â¡Shin Chan Flipa en colores!","DS","2007","Platform","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Drawn to Life Collection","DS","2010","Misc","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Backyard Sports: Sandlot Sluggers","DS","2010","Sports","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Atari's Greatest Hits: Volume 1","DS","2010","Misc","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Yogi Bear: The Video Game","DS","2010","Action","100","30","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Asphalt: Urban GT 2","DS","2006","Racing","90","40","NA","10","140","NA","NA","69","3","NA","0.022986618504228",""
"Power Pro Kun Pocket 8","DS","2005","Sports","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Master Jin Jin's IQ Challenge","DS","2006","Misc","130","NA","NA","10","140","38","4","NA","NA","NA","0.022986618504228",""
"Puyo Puyo!! 20th Anniversary","DS","2011","Puzzle","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Monster Lab","DS","2008","Role-Playing","120","10","NA","10","140","75","8","NA","NA","NA","0.022986618504228",""
"Paws & Claws: Pet Vet 2","DS","2007","Simulation","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Robots","DS","2005","Action","120","NA","NA","10","140","NA","NA","67","6","NA","0.022986618504228",""
"7th Dragon","DS","2009","Role-Playing","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Alvin and the Chipmunks","DS","2007","Misc","120","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Travel Games For Dummies","DS","2008","Misc","120","NA","NA","10","140","62","5","NA","NA","NA","0.022986618504228",""
"Kamen Rider Battle: Ganbaride","DS","2010","Strategy","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Where the Wild Things Are","DS","2009","Platform","120","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Spider-Man: Edge of Time","DS","2011","Action","120","10","NA","10","140","50","6","NA","NA","NA","0.022986618504228",""
"Gourmet Chef: Cook Your Way to Fame","DS","2008","Misc","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Fashion Studio: Paris Collection","DS","2009","Misc","130","NA","NA","10","140","NA","NA","NA","NA","NA","0.022986618504228",""
"Open Season","DS","2006","Platform","120","NA","NA","10","130","72","4","NA","NA","NA","0.021344717182497",""
"LEGO The Lord of the Rings","DS","2012","Action","NA","120","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Imagine: Fashion Stylist","DS","2010","Simulation","130","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Monster Jam","DS","2007","Racing","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Let's Play Ballerina","DS","2010","Sports","130","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Back At The Barnyard: Slop Bucket Games","DS","2008","Sports","120","NA","NA","10","130","49","4","NA","NA","NA","0.021344717182497",""
"Little League World Series Baseball 2009","DS","2009","Sports","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"GoldenEye 007 (2010)","DS","2010","Action","100","30","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Learn Math","DS","2009","Puzzle","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Shiren the Wanderer 4 - God's Eye and the Demon's Navel","DS","2010","Role-Playing","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Vampire Moon: The Mystery of the Hidden Sun","DS","2010","Adventure","120","10","NA","10","130","50","8","NA","NA","NA","0.021344717182497",""
"Quick Yoga Training","DS","2008","Misc","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Top Spin 3","DS","2008","Action","110","20","NA","10","130","65","2","NA","NA","NA","0.021344717182497",""
"Syberia","DS","2008","Action","100","20","NA","10","130","52","NA","NA","NA","NA","0.021344717182497",""
"Suite PreCure: Melody Collection","DS","2011","Misc","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Brain Assist","DS","2007","Misc","120","NA","NA","10","130","53","7","NA","NA","NA","0.021344717182497",""
"Freddi Fish: ABC under the sea","DS","2008","Misc","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Monster Rancher DS","DS","2008","Role-Playing","80","NA","50","10","130","58","4","NA","NA","NA","0.021344717182497",""
"Over the Hedge: Hammy Goes Nuts!","DS","2006","Platform","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2","DS","2006","Action","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Bakugan: Battle Trainer","DS","2010","Action","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"I Spy: Universe","DS","2010","Puzzle","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Littlest Pet Shop: Spring","DS","2009","Simulation","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Wantame Music Channel: Doko Demo Style","DS","2007","Misc","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Soccer Tsuku DS: World Challenge 2010","DS","2010","Sports","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Chuck E. Cheese's Game Room","DS","2010","Misc","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Sally's Salon","DS","2008","Simulation","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Zoobles! Spring to Life!","DS","2011","Misc","100","20","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Ben 10 Galactic Racing","DS","2011","Racing","90","30","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Harvest Moon DS (jp sales)","DS","2005","Simulation","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Lovely Lisa and Friends","DS","2010","Simulation","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Barbie and the Three Musketeers","DS","2009","Adventure","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"007: Quantum of Solace","DS","2008","Action","110","10","NA","10","130","65","NA","NA","NA","NA","0.021344717182497",""
"Dreamworks 2-in-1 Party Pack","DS","2010","Misc","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Metal Max 3","DS","2010","Role-Playing","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
"The Price is Right 2010 Edition","DS","2009","Misc","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.021344717182497",""
"Yu-Gi-Oh! Nightmare Troubadour (JP sales)","DS","2005","Action","NA","30","100","NA","130","NA","NA","NA","NA","NA","0.021344717182497",""
