"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales"
"Battlefield 2: Modern Combat","XB","2005","Shooter","390","150","NA","20","560","80","49","82","29","81","0.05423623755472"
"Major League Baseball 2K5","XB","2005","Sports","520","20","NA","20","560","80","25","82","7","81","0.05423623755472"
"NBA Ballers","XB","2004","Sports","370","110","NA","20","510","82","35","80","8","81","0.049393716344478"
"Midnight Club II","XB","2003","Racing","420","60","NA","20","500","86","33","76","2","81","0.048425212102429"
"NFL Fever 2004","XB","2003","Sports","240","70","NA","10","320","74","29","88","6","81","0.030992135745555"
"Super Monkey Ball Deluxe","XB","2005","Misc","110","30","NA","10","150","80","25","82","9","81","0.014527563630729"
"Guilty Gear X2 #Reload","XB","2004","Fighting","110","30","NA","10","150","86","34","76","2","81","0.014527563630729"
"Sniper Elite","XB","2005","Shooter","70","20","NA","NA","90","77","25","85","NA","81","0.0087165381784372"
"NCAA Football 08","XB","2007","Sports","60","20","NA","NA","80","82","4","80","8","81","0.0077480339363886"
"Aggressive Inline","XB","2002","Sports","50","10","NA","NA","60","85","20","77","7","81","0.0058110254522915"
"Otogi 2: Immortal Warriors","XB","2003","Action","40","10","NA","NA","50","79","43","83","2","81","0.0048425212102429"
"Dai Senryaku VII: Modern Military Tactics","XB","2003","Strategy","30","10","NA","NA","40","74","NA","88","6","81","0.0038740169681943"
"Total Overdose: A Gunslinger's Tale in Mexico","XB","2005","Shooter","20","10","NA","NA","20","70","28","92","27","81","0.0019370084840972"
"The Sims: Superstar","PC","2003","Simulation","1670","NA","NA","NA","1680","79","20","82","25","80.5","0.16270871266416"
"Assassin's Creed IV: Black Flag","PC","2013","Action","220","380","NA","50","640","84","NA","77","470","80.5","0.061984271491109"
"Sid Meier's Civilization VI","PC","2016","Strategy","90","130","NA","20","250","88","80","73","684","80.5","0.024212606051215"
"Darksiders","PC","2010","Action","70","60","NA","20","150","83","8","78","603","80.5","0.014527563630729"
"Just Cause 2","PC","2010","Action","NA","100","NA","20","120","84","33","77","838","80.5","0.011622050904583"
"Runaway: A Twist of Fate","PC","2009","Adventure","NA","40","NA","10","40","79","5","82","40","80.5","0.0038740169681943"
"Split/Second","PC","2010","Racing","NA","40","NA","10","40","79","8","82","6","80.5","0.0038740169681943"
"Star Wars: Empire at War - Forces of Corruption","PC","2006","Strategy","NA","20","NA","NA","20","75","25","86","79","80.5","0.0019370084840972"
"Vietcong","PC","2003","Shooter","NA","20","NA","NA","20","74","22","87","76","80.5","0.0019370084840972"
"Tomb Raider: Legend","PC","2006","Action","NA","10","NA","NA","20","82","30","79","244","80.5","0.0019370084840972"
"Harry Potter and the Chamber of Secrets","PC","2002","Action","NA","10","NA","NA","10","77","8","84","93","80.5","0.00096850424204858"
"SOCOM: U.S. Navy SEALs","PS2","2002","Shooter","2530","810","60","240","3650","82","42","79","82","80.5","0.35350404834773"
"Pro Evolution Soccer 2008","PS2","2007","Sports","50","NA","640","2930","3630","82","NA","79","38","80.5","0.35156703986363"
"LEGO Indiana Jones: The Original Adventures","PS2","2008","Action","600","10","NA","760","1370","77","2","84","6","80.5","0.13268508116066"
"SingStar '80s","PS2","2005","Misc","270","20","NA","1020","1300","78","22","83","6","80.5","0.12590555146632"
"Transformers","PS2","2004","Shooter","630","490","NA","160","1290","75","50","86","27","80.5","0.12493704722427"
"Scarface: The World is Yours","PS2","2006","Action","990","40","NA","160","1190","75","46","86","3","80.5","0.11525200480378"
"Mobile Suit Gundam: Federation vs. Zeon","PS2","2001","Simulation","120","100","880","30","1140","73","5","88","32","80.5","0.11040948359354"
"NHL 2004","PS2","2003","Sports","470","370","NA","120","970","85","9","76","53","80.5","0.093944911478712"
"Front Mission 4","PS2","2003","Strategy","140","110","250","40","540","75","39","86","22","80.5","0.052299229070623"
"NCAA March Madness 2005","PS2","2004","Sports","440","20","NA","70","530","78","9","83","3","80.5","0.051330724828575"
"MLB SlugFest 20-04","PS2","2003","Sports","260","200","NA","70","530","78","23","83","8","80.5","0.051330724828575"
"Theme Park Roller Coaster","PS2","2000","Strategy","230","180","NA","60","480","82","NA","79","7","80.5","0.046488203618332"
"Kelly Slater's Pro Surfer","PS2","2002","Sports","160","130","NA","40","330","77","9","84","5","80.5","0.031960639987603"
"Disney's Extreme Skate Adventure","PS2","2003","Sports","160","120","NA","40","320","78","5","83","2","80.5","0.030992135745555"
"Shadow Hearts","PS2","2001","Role-Playing","90","70","100","20","280","73","24","88","55","80.5","0.02711811877736"
"Mega Man X Collection","PS2","2006","Misc","120","90","NA","30","240","73","23","88","4","80.5","0.023244101809166"
"Tribes: Aerial Assault","PS2","2002","Shooter","110","90","NA","30","230","73","23","88","47","80.5","0.022275597567117"
"Maximo vs Army of Zin","PS2","2003","Platform","100","80","NA","30","210","83","46","78","3","80.5","0.02033858908302"
"Project: Snowblind","PS2","2005","Action","100","80","NA","30","210","78","54","83","23","80.5","0.02033858908302"
"Transworld Surf","PS2","2002","Sports","90","70","NA","20","190","76","5","85","6","80.5","0.018401580598923"
"Buffy the Vampire Slayer: Chaos Bleeds","PS2","2003","Action","90","70","NA","20","180","72","27","89","47","80.5","0.017433076356874"
"EyeToy: Kinetic","PS2","2005","Sports","90","70","NA","20","170","78","32","83","NA","80.5","0.016464572114826"
"Indigo Prophecy","PS2","2005","Adventure","70","60","NA","20","150","83","47","78","4","80.5","0.014527563630729"
"World Tour Soccer 2003","PS2","2002","Sports","70","50","NA","20","140","78","20","83","7","80.5","0.01355905938868"
"Alien Hominid","PS2","2004","Shooter","50","40","NA","10","100","78","47","83","3","80.5","0.0096850424204858"
"Shin Megami Tensei: Digital Devil Saga 2","PS2","2005","Role-Playing","40","30","NA","10","80","82","38","79","38","80.5","0.0077480339363886"
"Robot Alchemic Drive","PS2","2002","Action","30","30","NA","10","70","79","20","82","3","80.5","0.0067795296943401"
"The King of Fighters 02/03","PS2","2005","Fighting","30","30","NA","10","70","73","28","88","4","80.5","0.0067795296943401"
"Rez","PS2","2001","Shooter","30","20","NA","10","50","78","34","83","28","80.5","0.0048425212102429"
"Call of Duty: World at War","PS3","2008","Shooter","2730","1830","NA","830","5390","85","45","76","409","80.5","0.52202378646418"
"Need for Speed: Hot Pursuit","PS3","2010","Racing","1050","1230","30","470","2780","89","59","72","300","80.5","0.26924417928951"
"Guitar Hero III: Legends of Rock","PS3","2007","Misc","1400","530","20","300","2240","83","45","78","52","80.5","0.21694495021888"
"LEGO Marvel Super Heroes","PS3","2013","Action","770","760","10","290","1840","82","22","79","76","80.5","0.17820478053694"
"Dragon's Dogma","PS3","2012","Role-Playing","410","440","720","170","1740","78","38","83","444","80.5","0.16851973811645"
"Saints Row 2","PS3","2008","Action","880","540","20","250","1680","82","50","79","35","80.5","0.16270871266416"
"Resistance 3","PS3","2011","Shooter","640","570","50","220","1480","83","90","78","543","80.5","0.14333862782319"
"Naruto: Ultimate Ninja Storm","PS3","2008","Fighting","490","340","90","150","1070","75","32","86","95","80.5","0.1036299538992"
"Tom Clancy's Splinter Cell: Blacklist","PS3","2013","Action","340","390","60","150","940","84","27","77","304","80.5","0.091039398752567"
"Pure","PS3","2008","Racing","420","330","NA","140","890","83","43","78","30","80.5","0.086196877542324"
"NBA 2K10","PS3","2009","Sports","750","10","10","70","840","83","30","78","39","80.5","0.081354356332081"
"NHL 12","PS3","2011","Sports","360","150","NA","70","580","86","33","75","52","80.5","0.056173246038818"
"Pinball Hall of Fame: The Williams Collection","PS3","2009","Misc","200","NA","NA","20","220","82","6","79","8","80.5","0.021307093325069"
"Darksiders","PS3","2010","Action","10","NA","NA","NA","20","82","73","79","309","80.5","0.0019370084840972"
"Assassin's Creed IV: Black Flag","PS4","2013","Action","1070","1310","60","420","2850","83","29","78","530","80.5","0.27602370898385"
"Until Dawn","PS4","2015","Adventure","450","900","50","260","1660","79","3","82","2060","80.5","0.16077170418006"
"Naruto Shippuden: Ultimate Ninja Storm 4","PS4","2016","Fighting","410","450","110","170","1140","79","60","82","200","80.5","0.11040948359354"
"Watch Dogs 2","PS4","2016","Action","370","580","NA","180","1130","83","88","78","620","80.5","0.10944097935149"
"Pro Evolution Soccer 2017","PS4","2016","Sports","20","270","110","50","450","85","60","76","478","80.5","0.043582690892186"
"BlazBlue Central Fiction","PS4","2016","Fighting","40","NA","30","10","80","85","20","76","39","80.5","0.0077480339363886"
"Dead Rising","X360","2006","Action","1160","640","80","200","2080","85","82","76","520","80.5","0.2014488823461"
"FIFA Soccer 08","X360","2007","Sports","310","890","10","140","1350","82","43","79","57","80.5","0.13074807267656"
"UFC Undisputed 3","X360","2012","Action","720","200","NA","80","990","85","60","76","88","80.5","0.095881919962809"
"Lost Odyssey","X360","2007","Role-Playing","450","260","110","80","900","78","68","83","432","80.5","0.087165381784372"
"Tales of Vesperia","X360","2008","Role-Playing","320","170","190","50","740","79","67","82","264","80.5","0.071669313911595"
"Castlevania: Lords of Shadow","X360","2010","Action","420","170","10","50","660","83","70","78","237","80.5","0.063921279975206"
"Viva Pinata: Trouble in Paradise","X360","2008","Simulation","160","250","10","50","470","82","64","79","60","80.5","0.045519699376283"
"Child of Eden","X360","2011","Shooter","280","120","NA","40","440","84","80","77","95","80.5","0.042614186650138"
"Devil May Cry HD Collection","X360","2012","Action","280","110","10","30","430","77","32","84","93","80.5","0.041645682408089"
"The King of Fighters XIII","X360","2011","Fighting","230","60","10","30","330","79","30","82","50","80.5","0.031960639987603"
"Catherine","X360","2011","Adventure","200","60","30","20","310","82","39","79","53","80.5","0.030023631503506"
"You Don't Know Jack","X360","2011","Misc","190","NA","NA","10","210","82","23","79","29","80.5","0.02033858908302"
"NBA Live 2005","XB","2004","Sports","810","50","NA","40","900","85","28","76","4","80.5","0.087165381784372"
"Tony Hawk's Underground 2","XB","2004","Sports","480","240","NA","30","750","83","55","78","2","80.5","0.072637818153644"
"Dance Dance Revolution Ultramix 3","XB","2005","Simulation","280","80","NA","10","380","75","6","86","8","80.5","0.036803161197846"
"MVP 06 NCAA Baseball","XB","2006","Sports","250","70","NA","10","340","75","29","86","7","80.5","0.032929144229652"
"Outlaw Volleyball","XB","2003","Sports","190","60","NA","10","260","77","33","84","7","80.5","0.025181110293263"
"FIFA World Cup Germany 2006","XB","2006","Sports","180","50","NA","10","240","77","22","84","9","80.5","0.023244101809166"
"Spartan: Total Warrior","XB","2005","Action","100","30","NA","NA","130","73","36","88","2","80.5","0.012590555146632"
"Indigo Prophecy","XB","2005","Adventure","70","30","NA","NA","100","84","50","77","39","80.5","0.0096850424204858"
"Worms 4: Mayhem","XB","2005","Strategy","30","10","NA","NA","40","69","27","92","6","80.5","0.0038740169681943"
"Dreamfall: The Longest Journey","XB","2006","Adventure","30","10","NA","NA","40","73","42","88","24","80.5","0.0038740169681943"
"The Elder Scrolls Online","XOne","2015","Role-Playing","780","380","NA","120","1280","77","NA","84","603","80.5","0.12396854298222"
"Rare Replay","XOne","2015","Misc","490","220","10","70","790","84","75","77","325","80.5","0.076511835121838"
"Terraria","XOne","2014","Action","NA","40","NA","NA","40","84","5","77","29","80.5","0.0038740169681943"
"The Sims 3: World Adventures","PC","2009","Simulation","20","180","NA","380","570","80","30","80","72","80","0.055204741796769"
"Metro 2033","PC","2010","Shooter","NA","190","NA","50","240","80","40","80","472","80","0.023244101809166"
"Saints Row IV","PC","2013","Action","110","60","NA","20","190","86","45","74","543","80","0.018401580598923"
"FIFA Soccer 11","PC","2010","Sports","NA","140","NA","40","180","83","6","77","2","80","0.017433076356874"
"Dark Souls II","PC","2014","Role-Playing","80","80","NA","10","170","90","36","70","2308","80","0.016464572114826"
"Sonic Generations","PC","2011","Platform","20","70","NA","20","110","77","NA","83","337","80","0.010653546662534"
"Mirror's Edge","PC","2009","Platform","NA","50","NA","10","60","80","44","80","26","80","0.0058110254522915"
"Praetorians","PC","2003","Strategy","NA","40","NA","NA","40","78","23","82","38","80","0.0038740169681943"
"The Void","PC","2008","Adventure","NA","30","NA","10","30","77","2","83","97","80","0.0029055127261457"
"Men of War","PC","2009","Strategy","10","20","NA","NA","30","80","22","80","36","80","0.0029055127261457"
"Cossacks: European Wars","PC","2001","Strategy","NA","20","NA","NA","30","74","6","86","60","80","0.0029055127261457"
"Overlord","PC","2007","Strategy","NA","20","NA","NA","20","80","27","80","220","80","0.0019370084840972"
"Painkiller","PC","2004","Shooter","NA","20","NA","NA","20","80","62","80","284","80","0.0019370084840972"
"A Vampyre Story","PC","2008","Adventure","NA","10","NA","NA","20","75","33","85","25","80","0.0019370084840972"
"Codename: Panzers Phase Two","PC","2005","Strategy","NA","10","NA","NA","10","80","36","80","5","80","0.00096850424204858"
"The Chronicles of Riddick: Assault on Dark Athena","PC","2009","Shooter","NA","10","NA","NA","10","80","26","80","36","80","0.00096850424204858"
"The Sims","PS2","2003","Simulation","1410","1120","NA","240","2770","83","33","77","46","80","0.26827567504746"
"SpongeBob SquarePants: Battle for Bikini Bottom","PS2","2003","Platform","1080","450","NA","140","1670","70","9","90","85","80","0.16174020842211"
"Dave Mirra Freestyle BMX 2","PS2","2001","Sports","670","530","NA","180","1380","80","20","80","8","80","0.1336535854027"
"Samurai Warriors","PS2","2004","Action","220","50","1060","20","1350","73","37","87","23","80","0.13074807267656"
".hack//Infection Part 1","PS2","2002","Role-Playing","490","380","260","130","1270","75","35","85","60","80","0.12300003874017"
"Mortal Kombat: Armageddon","PS2","2006","Fighting","880","40","NA","140","1060","75","43","85","84","80","0.10266144965715"
"Dance Dance Revolution SuperNOVA","PS2","2006","Simulation","870","30","NA","140","1040","73","25","87","6","80","0.10072444117305"
"NFL 2K2","PS2","2001","Sports","440","340","NA","110","890","85","6","75","6","80","0.086196877542324"
"Time Crisis 3","PS2","2003","Shooter","300","230","NA","80","610","80","29","80","2","80","0.059078758764963"
"Grandia III","PS2","2005","Role-Playing","120","100","240","30","490","77","38","83","53","80","0.04745670786038"
"TimeSplitters","PS2","2000","Shooter","210","170","NA","60","430","80","23","80","40","80","0.041645682408089"
"BloodRayne","PS2","2002","Shooter","200","160","NA","50","420","75","8","85","26","80","0.04067717816604"
"Kinetica","PS2","2001","Racing","160","120","NA","40","320","77","20","83","20","80","0.030992135745555"
"Karaoke Revolution Volume 3","PS2","2004","Misc","160","120","NA","40","320","82","25","78","NA","80","0.030992135745555"
"Heroes of the Pacific","PS2","2005","Simulation","140","110","NA","40","290","76","30","84","5","80","0.028086623019409"
"Armored Core: Nexus","PS2","2004","Simulation","60","50","140","20","260","73","9","87","7","80","0.025181110293263"
"ESPN NHL Hockey","PS2","2003","Sports","110","90","NA","30","230","90","9","70","22","80","0.022275597567117"
"Shadow of Destiny","PS2","2001","Adventure","90","70","30","20","210","78","8","82","9","80","0.02033858908302"
"The King of Fighters XI","PS2","2006","Fighting","70","60","40","20","190","75","30","85","5","80","0.018401580598923"
"Gallop Racer 2001","PS2","2001","Sports","50","40","60","10","170","70","NA","90","56","80","0.016464572114826"
"Ys: The Ark of Napishtim","PS2","2005","Role-Playing","70","50","NA","20","130","72","35","88","4","80","0.012590555146632"
"Shin Megami Tensei: Digital Devil Saga","PS2","2004","Role-Playing","60","50","NA","20","130","78","42","82","48","80","0.012590555146632"
"G1 Jockey 3","PS2","2002","Sports","20","10","70","NA","100","70","2","90","NA","80","0.0096850424204858"
"Total Overdose: A Gunslinger's Tale in Mexico","PS2","2005","Shooter","40","40","NA","10","90","70","36","90","25","80","0.0087165381784372"
"Guilty Gear XX Accent Core","PS2","2007","Fighting","NA","NA","40","NA","40","77","9","83","6","80","0.0038740169681943"
"Metal Slug Anthology","PS2","2007","Shooter","NA","NA","10","NA","10","80","20","80","6","80","0.00096850424204858"
"Battlefield 3","PS3","2011","Shooter","2850","2890","350","1080","7170","85","38","75","760","80","0.69441754154883"
"Fallout: New Vegas","PS3","2010","Role-Playing","1520","1030","100","460","3110","82","57","78","492","80","0.30120481927711"
"2010 FIFA World Cup South Africa","PS3","2010","Sports","300","640","70","220","1230","82","56","78","57","80","0.11912602177198"
"Tales of Xillia","PS3","2011","Role-Playing","290","180","670","90","1220","78","65","82","468","80","0.11815751752993"
"WWE SmackDown vs. Raw 2010","PS3","2009","Fighting","480","480","10","200","1170","80","38","80","55","80","0.11331499631968"
"Sleeping Dogs","PS3","2012","Action","310","490","50","190","1040","83","40","77","645","80","0.10072444117305"
"UFC Undisputed 3","PS3","2012","Action","550","320","30","130","1030","86","30","74","92","80","0.099755936931004"
"Ninja Gaiden Sigma 2","PS3","2009","Action","520","160","80","100","850","83","52","77","5","80","0.082322860574129"
"Bulletstorm","PS3","2011","Shooter","230","200","10","80","530","83","57","77","288","80","0.051330724828575"
"Mini Ninjas","PS3","2009","Action","140","150","NA","60","340","73","37","87","62","80","0.032929144229652"
"Mortal Kombat X","PS4","2015","Fighting","1500","800","NA","480","2780","83","80","77","836","80","0.26924417928951"
"LEGO Marvel Super Heroes","PS4","2013","Action","590","760","10","260","1620","83","22","77","262","80","0.15689768721187"
"Borderlands: The Handsome Collection","PS4","2015","Shooter","380","330","30","140","880","82","49","78","345","80","0.085228373300275"
"MLB 14: The Show","PS4","2014","Sports","580","NA","NA","140","720","83","7","77","205","80","0.069732305427498"
"Deus Ex: Mankind Divided","PS4","2016","Role-Playing","110","210","NA","60","380","84","59","76","500","80","0.036803161197846"
"World of Final Fantasy","PS4","2016","Role-Playing","80","140","80","40","330","77","74","83","222","80","0.031960639987603"
"Disgaea 5: Alliance of Vengeance","PS4","2015","Role-Playing","110","80","60","40","290","80","43","80","73","80","0.028086623019409"
"Tearaway Unfolded","PS4","2015","Platform","90","130","NA","40","260","80","70","80","88","80","0.025181110293263"
"Digimon Story: Cyber Sleuth","PS4","2016","Role-Playing","NA","100","NA","20","110","75","45","85","289","80","0.010653546662534"
"Nobunaga's Ambition: Sphere of Influence","PS4","2014","Strategy","30","NA","NA","10","40","80","20","80","46","80","0.0038740169681943"
"Prison Architect","PS4","2016","Action","10","10","NA","10","30","80","8","80","9","80","0.0029055127261457"
"Call of Duty: World at War","X360","2008","Shooter","4810","1880","NA","690","7380","84","84","76","580","80","0.71475613063185"
"Saints Row 2","X360","2008","Action","1940","790","20","280","3030","80","75","80","307","80","0.29345678534072"
"NBA 2K13","X360","2012","Sports","2600","200","10","190","3000","88","40","72","30","80","0.29055127261457"
"Saints Row: The Third","X360","2011","Action","1250","1140","70","300","2760","84","70","76","490","80","0.26730717080541"
"Skate 3","X360","2010","Sports","1470","930","NA","240","2630","80","65","80","27","80","0.25471661565878"
"Tom Clancy's Rainbow Six: Vegas 2","X360","2008","Shooter","1560","600","20","230","2420","82","66","78","76","80","0.23437802657576"
"Just Cause 2","X360","2010","Action","590","830","20","170","1600","80","74","80","267","80","0.15496067872777"
"Battlefield: Bad Company","X360","2008","Shooter","810","460","40","150","1460","83","70","77","263","80","0.14140161933909"
"Sonic Generations","X360","2011","Platform","710","530","NA","130","1380","77","49","83","340","80","0.1336535854027"
"Bulletstorm","X360","2011","Shooter","610","320","10","80","1020","84","83","76","439","80","0.098787432688955"
"Ninja Gaiden II","X360","2008","Action","650","220","50","100","1010","80","74","80","302","80","0.097818928446907"
"Fight Night Champion","X360","2011","Fighting","400","310","NA","70","780","86","59","74","5","80","0.075543330879789"
"NCAA Football 09","X360","2008","Sports","650","NA","NA","50","710","83","24","77","26","80","0.068763801185449"
"LEGO Star Wars II: The Original Trilogy","X360","2006","Action","550","30","NA","50","630","80","50","80","45","80","0.061015767249061"
"Enslaved: Odyssey to the West","X360","2010","Action","300","190","NA","50","540","82","72","78","295","80","0.052299229070623"
"Metal Gear Rising: Revengeance","X360","2013","Action","300","140","NA","40","480","82","46","78","358","80","0.046488203618332"
"Tomb Raider: Anniversary","X360","2007","Action","120","220","NA","50","390","77","33","83","39","80","0.037771665439895"
"DeathSmiles","X360","2009","Shooter","150","60","50","20","280","76","29","84","47","80","0.02711811877736"
"Shadows of the Damned","X360","2011","Action","100","60","10","20","190","76","76","84","39","80","0.018401580598923"
"The Wolf Among Us","X360","2011","Adventure","10","20","NA","NA","30","83","5","77","88","80","0.0029055127261457"
"Scarface: The World is Yours","XB","2006","Action","370","110","NA","20","490","76","40","84","46","80","0.04745670786038"
"Deus Ex: Invisible War","XB","2003","Shooter","250","70","NA","10","330","84","50","76","37","80","0.031960639987603"
"SSX On Tour","XB","2005","Sports","110","30","NA","10","140","80","35","80","NA","80","0.01355905938868"
"Kelly Slater's Pro Surfer","XB","2002","Sports","80","20","NA","NA","100","80","5","80","5","80","0.0096850424204858"
"Crimson Sea","XB","2002","Action","40","10","40","NA","90","78","9","82","NA","80","0.0087165381784372"
"Samurai Warriors","XB","2004","Action","50","20","NA","NA","70","70","20","90","5","80","0.0067795296943401"
"Colin McRae Rally 3","XB","2002","Racing","30","10","NA","NA","40","86","25","74","4","80","0.0038740169681943"
"Broken Sword: The Sleeping Dragon","XB","2003","Adventure","10","NA","NA","NA","20","77","24","83","2","80","0.0019370084840972"
"Plants vs. Zombies: Garden Warfare 2","XOne","2016","Shooter","290","150","NA","40","480","80","64","80","79","80","0.046488203618332"
"Watch Dogs 2","XOne","2016","Action","170","160","NA","30","360","83","9","77","30","80","0.034866152713749"
"The Sims: Unleashed","PC","2002","Simulation","2030","1560","NA","170","3760","79","20","80","29","79.5","0.36415759501027"
"RollerCoaster Tycoon 2","PC","2002","Strategy","1190","50","NA","NA","1250","74","22","85","35","79.5","0.12106303025607"
"Empire: Total War","PC","2009","Strategy","10","970","NA","100","1080","90","62","69","2980","79.5","0.10459845814125"
"Napoleon: Total War","PC","2010","Strategy","20","530","NA","120","660","80","56","79","505","79.5","0.063921279975206"
"Bulletstorm","PC","2011","Shooter","70","70","NA","20","160","82","34","77","768","79.5","0.015496067872777"
"Total War: WARHAMMER","PC","2016","Strategy","NA","120","NA","10","130","86","77","73","556","79.5","0.012590555146632"
"Alice: Madness Returns","PC","2011","Adventure","NA","100","NA","20","120","75","29","84","559","79.5","0.011622050904583"
"Goodbye Deponia","PC","2013","Adventure","NA","60","NA","NA","70","80","34","79","70","79.5","0.0067795296943401"
"Men of War: Assault Squad","PC","2011","Strategy","10","30","NA","10","50","77","20","82","93","79.5","0.0048425212102429"
"Tropico 3","PC","2009","Strategy","NA","40","NA","10","40","79","48","80","84","79.5","0.0038740169681943"
"Overlord II","PC","2009","Action","NA","30","NA","NA","30","79","32","80","59","79.5","0.0029055127261457"
"Battlefield Vietnam","PC","2004","Shooter","NA","20","NA","NA","30","84","48","75","33","79.5","0.0029055127261457"
"Dungeon Siege II","PC","2005","Role-Playing","NA","20","NA","NA","30","80","50","79","59","79.5","0.0029055127261457"
"Jurassic Park: Operation Genesis","PC","2003","Simulation","NA","20","NA","NA","20","72","5","87","55","79.5","0.0019370084840972"
"Test Drive Unlimited","PC","2007","Racing","NA","20","NA","NA","20","79","8","80","24","79.5","0.0019370084840972"
"The Lord of the Rings: The Battle for Middle-Earth II","PC","2006","Strategy","10","10","NA","NA","20","84","36","75","366","79.5","0.0019370084840972"
"Colin McRae Rally 04","PC","2004","Racing","NA","10","NA","NA","10","87","6","72","44","79.5","0.00096850424204858"
"Sonic Mega Collection Plus","PS2","2004","Misc","1540","1140","NA","220","2900","73","20","86","30","79.5","0.28086623019409"
"Call Of Duty 2: Big Red One","PS2","2005","Shooter","1480","920","10","260","2670","77","39","82","69","79.5","0.25859063262697"
"Crazy Taxi","PS2","2001","Racing","1130","1120","60","220","2520","80","5","79","46","79.5","0.24406306899624"
"Manhunt","PS2","2003","Action","630","490","NA","160","1280","76","47","83","36","79.5","0.12396854298222"
"Kessen","PS2","2000","Strategy","270","210","410","70","950","75","20","84","2","79.5","0.092007902994615"
"MLB SlugFest 20-03","PS2","2002","Sports","410","320","NA","110","830","77","25","82","6","79.5","0.080385852090032"
"Dragon Ball Z: Budokai Tenkaichi 2","PS2","2006","Fighting","660","20","NA","110","790","73","30","86","60","79.5","0.076511835121838"
"Capcom vs. SNK 2: Mark of the Millennium 2001","PS2","2001","Fighting","220","170","300","60","750","80","22","79","27","79.5","0.072637818153644"
"Kung Fu Panda","PS2","2008","Action","240","NA","NA","410","650","73","6","86","5","79.5","0.062952775733158"
"XIII","PS2","2003","Shooter","280","220","NA","70","570","73","37","86","35","79.5","0.055204741796769"
"MX 2002 Featuring Ricky Carmichael","PS2","2001","Racing","270","210","NA","70","560","76","7","83","9","79.5","0.05423623755472"
"Time Crisis II","PS2","2001","Shooter","260","200","NA","70","530","80","20","79","20","79.5","0.051330724828575"
"SSX On Tour","PS2","2005","Sports","250","200","NA","70","520","80","40","79","26","79.5","0.050362220586526"
"Ace Combat Zero: The Belkan War","PS2","2006","Simulation","150","120","200","40","510","75","45","84","55","79.5","0.049393716344478"
"The Mark of Kri","PS2","2002","Action","220","180","NA","60","460","80","37","79","29","79.5","0.044551195134235"
"Area 51","PS2","2005","Shooter","220","170","NA","60","450","75","37","84","52","79.5","0.043582690892186"
"NFL Blitz 20-03","PS2","2002","Sports","210","170","NA","60","440","73","5","86","5","79.5","0.042614186650138"
"Primal","PS2","2003","Action","210","170","NA","60","430","73","36","86","53","79.5","0.041645682408089"
"Romance of the Three Kingdoms VII","PS2","2000","Strategy","80","60","160","20","320","72","NA","87","NA","79.5","0.030992135745555"
"Pride FC: Fighting Championships","PS2","2003","Fighting","150","110","NA","40","300","73","9","86","7","79.5","0.029055127261457"
"Dynasty Tactics","PS2","2002","Strategy","60","50","160","20","290","79","4","80","30","79.5","0.028086623019409"
"Summoner 2","PS2","2002","Role-Playing","100","80","NA","30","210","76","20","83","22","79.5","0.02033858908302"
"Pitfall: The Lost Expedition","PS2","2004","Platform","100","80","NA","30","200","70","34","89","2","79.5","0.019370084840972"
"Phantom Brave","PS2","2004","Role-Playing","70","50","NA","20","140","80","40","79","22","79.5","0.01355905938868"
"FunkMaster Flex's Digital Hitz Factory","PS2","2003","Misc","20","10","NA","NA","40","70","6","89","NA","79.5","0.0038740169681943"
"Gran Turismo 5","PS3","2010","Racing","2960","4820","810","2110","10700","84","82","75","2","79.5","1.036299538992"
"Resident Evil 5","PS3","2009","Action","1960","1410","1080","640","5090","84","76","75","667","79.5","0.49296865920273"
"Saints Row: The Third","PS3","2011","Action","860","1040","180","380","2470","82","50","77","384","79.5","0.239220547786"
"Guitar Hero: World Tour","PS3","2008","Misc","1100","550","NA","270","1920","84","43","75","80","79.5","0.18595281447333"
"Metal Gear Rising: Revengeance","PS3","2013","Action","450","370","440","160","1420","80","60","79","746","79.5","0.1375276023709"
"Tom Clancy's Rainbow Six: Vegas 2","PS3","2008","Shooter","660","440","40","210","1340","80","32","79","93","79.5","0.12977956843451"
"LEGO Harry Potter: Years 1-4","PS3","2010","Action","550","550","NA","210","1310","79","42","80","52","79.5","0.12687405570836"
"Naruto Shippuden: Ultimate Ninja Storm 2","PS3","2010","Fighting","420","460","150","180","1210","76","34","83","30","79.5","0.11718901328788"
"Yakuza 3","PS3","2009","Action","210","200","620","80","1120","79","77","80","65","79.5","0.10847247510944"
"Virtua Fighter 5","PS3","2007","Fighting","290","510","80","200","1080","85","47","74","67","79.5","0.10459845814125"
"Virtua Tennis 3","PS3","2007","Sports","230","580","30","210","1050","80","35","79","32","79.5","0.1016929454151"
"Tales of Graces f","PS3","2010","Role-Playing","280","180","450","70","980","77","55","82","336","79.5","0.094913415720761"
"Brutal Legend","PS3","2009","Action","540","270","NA","130","940","83","60","76","62","79.5","0.091039398752567"
"LEGO Harry Potter: Years 5-7","PS3","2011","Action","360","410","NA","150","910","76","27","83","48","79.5","0.088133886026421"
"NCAA Football 11","PS3","2010","Sports","790","NA","NA","60","850","85","22","74","25","79.5","0.082322860574129"
