"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales","Client"
"Hitman: Contracts","PS2","2004","Shooter","390","310","NA","100","800","80","39","83","43","81.5","0.077480339363886","113"
"Mortal Kombat: Shaolin Monks","PS2","2005","Action","580","20","NA","90","690","77","40","86","74","81.5","0.066826792701352","373"
"NHL 06","PS2","2005","Sports","480","20","NA","80","580","78","27","85","29","81.5","0.056173246038818","93"
"Star Wars: Jedi Starfighter","PS2","2002","Simulation","240","190","NA","60","500","80","22","83","8","81.5","0.048425212102429","56"
"Armored Core 2: Another Age","PS2","2001","Simulation","110","80","190","30","410","75","6","88","30","81.5","0.039708673923992","536"
"High Heat Major League Baseball 2003","PS2","2002","Sports","180","140","NA","50","370","84","23","79","7","81.5","0.035834656955797","227"
"High Heat Major League Baseball 2004","PS2","2003","Sports","180","140","NA","50","360","83","7","80","2","81.5","0.034866152713749","201"
"Sky Odyssey","PS2","2000","Simulation","160","120","NA","40","320","79","8","84","9","81.5","0.030992135745555","978"
"NCAA College Basketball 2K3","PS2","2002","Sports","120","90","NA","30","240","83","7","80","6","81.5","0.023244101809166","273"
"Test Drive: Eve of Destruction","PS2","2004","Racing","110","90","NA","30","230","73","34","90","23","81.5","0.022275597567117","730"
"MDK2 Armageddon","PS2","2001","Shooter","80","70","NA","20","170","80","9","83","NA","81.5","0.016464572114826","993"
"Fatal Frame","PS2","2001","Action","70","60","NA","20","140","74","22","89","72","81.5","0.01355905938868","309"
"Fire Pro Wrestling Returns","PS2","2005","Sports","40","30","NA","10","90","78","2","85","7","81.5","0.0087165381784372","300"
"Romance of the Three Kingdoms IX","PS2","2003","Strategy","30","30","NA","10","70","74","7","89","NA","81.5","0.0067795296943401","410"
"RedCard 20-03","PS2","2002","Sports","30","30","NA","10","70","73","9","90","6","81.5","0.0067795296943401","116"
"Battle Engine Aquila","PS2","2003","Shooter","20","10","NA","NA","30","73","7","90","5","81.5","0.0029055127261457","790"
"LittleBigPlanet","PS3","2008","Platform","2800","1980","170","870","5820","95","85","68","5300","81.5","0.56366946887227","125"
"Killzone 3","PS3","2011","Shooter","1450","860","90","380","2770","84","85","79","942","81.5","0.26827567504746","283"
"Just Cause 2","PS3","2010","Action","450","920","60","320","1750","83","66","80","290","81.5","0.1694882423585","816"
"Ninja Gaiden Sigma","PS3","2007","Action","570","320","90","160","1140","88","46","75","55","81.5","0.11040948359354","186"
"Rocksmith","PS3","2011","Misc","530","360","90","150","1120","80","27","83","52","81.5","0.10847247510944","894"
"DiRT","PS3","2007","Racing","160","660","NA","230","1050","83","32","80","32","81.5","0.1016929454151","613"
"Persona 4: Arena","PS3","2012","Fighting","300","110","240","70","730","86","47","77","80","81.5","0.070700809669546","198"
"Unreal Tournament III","PS3","2007","Shooter","330","230","NA","100","670","86","42","77","27","81.5","0.064889784217255","589"
"The Legend of Heroes: Trails of Cold Steel","PS3","2013","Role-Playing","50","20","120","10","200","86","2","77","28","81.5","0.019370084840972","176"
"Batman: Arkham Knight","PS4","2015","Action","1530","1690","100","640","3950","87","89","76","2679","81.5","0.38255917560919","685"
"Dragon Age: Inquisition","PS4","2014","Role-Playing","730","880","80","320","2010","89","43","74","984","81.5","0.19466935265176","989"
"Steins;Gate 0","PS4","2015","Adventure","NA","NA","50","NA","50","80","7","83","29","81.5","0.0048425212102429","965"
"FIFA Soccer 11","X360","2010","Sports","710","2390","20","400","3520","88","66","75","55","81.5","0.3409134932011","839"
"Crackdown","X360","2007","Shooter","1000","530","30","180","1750","83","75","80","340","81.5","0.1694882423585","557"
"Alan Wake","X360","2010","Action","660","500","50","130","1330","83","NA","80","56","81.5","0.12881106419246","251"
"Bully: Scholarship Edition","X360","2008","Action","530","400","30","110","1060","80","56","83","54","81.5","0.10266144965715","772"
"2010 FIFA World Cup South Africa","X360","2010","Sports","320","420","20","90","850","83","60","80","58","81.5","0.082322860574129","95"
"Darksiders II","X360","2012","Action","450","270","NA","70","790","83","63","80","456","81.5","0.076511835121838","639"
"The BIGS","X360","2007","Sports","180","80","NA","NA","270","79","23","84","20","81.5","0.026149614535312","579"
"Zone of the Enders HD Collection","X360","2012","Simulation","140","30","10","20","200","75","20","88","20","81.5","0.019370084840972","191"
"DoDonPachi Resurrection","X360","2010","Shooter","NA","40","NA","10","50","77","NA","86","6","81.5","0.0048425212102429","685"
"Halo 2 Multiplayer Map Pack","XB","2005","Shooter","540","130","NA","20","690","89","37","74","34","81.5","0.066826792701352","365"
"Star Wars Jedi Knight: Jedi Academy","XB","2003","Shooter","340","100","NA","20","450","76","30","87","30","81.5","0.043582690892186","17"
"MX vs. ATV Unleashed","XB","2005","Racing","320","70","NA","10","400","80","20","83","3","81.5","0.038740169681943","742"
"NHL 06","XB","2005","Sports","190","50","NA","10","250","79","35","84","8","81.5","0.024212606051215","488"
"Psi-Ops: The Mindgate Conspiracy","XB","2004","Shooter","130","40","NA","10","170","84","55","79","8","81.5","0.016464572114826","657"
"Dynasty Warriors 4","XB","2003","Action","120","30","NA","10","160","75","8","88","8","81.5","0.015496067872777","148"
"All-Star Baseball 2005","XB","2004","Sports","110","30","NA","10","150","75","30","88","2","81.5","0.014527563630729","218"
"The Bard's Tale","XB","2004","Role-Playing","80","20","NA","NA","100","75","50","88","4","81.5","0.0096850424204858","501"
"Shrek SuperSlam","XB","2005","Action","70","20","NA","NA","90","70","20","93","4","81.5","0.0087165381784372","956"
"Fatal Frame","XB","2002","Action","40","10","NA","NA","60","77","7","86","6","81.5","0.0058110254522915","189"
"Yager","XB","2003","Shooter","30","10","NA","NA","50","70","9","93","9","81.5","0.0048425212102429","444"
"The Sims 3","PC","2009","Simulation","990","6420","NA","600","8010","86","75","76","886","81","0.77577189788091","461"
"Wolfenstein: The New Order","PC","2014","Shooter","130","290","NA","30","450","80","23","82","647","81","0.043582690892186","809"
"1701 A.D.","PC","2006","Simulation","NA","250","NA","40","300","79","30","83","38","81","0.029055127261457","266"
"L.A. Noire: The Complete Edition","PC","2011","Adventure","80","130","NA","30","250","83","28","79","903","81","0.024212606051215","229"
"LEGO The Lord of the Rings","PC","2012","Action","70","130","NA","30","220","80","6","82","27","81","0.021307093325069","772"
"Sleeping Dogs","PC","2012","Action","60","50","NA","10","120","80","23","82","209","81","0.011622050904583","615"
"Burnout Paradise: The Ultimate Box","PC","2009","Racing","NA","80","NA","10","90","87","26","75","435","81","0.0087165381784372","223"
"Bejeweled 3","PC","2010","Puzzle","20","50","NA","10","80","82","27","80","86","81","0.0077480339363886","407"
"Empire Earth","PC","2001","Strategy","NA","40","NA","10","50","80","23","82","26","81","0.0048425212102429","148"
"TOCA Race Driver 3","PC","2006","Racing","NA","20","NA","NA","20","84","6","78","53","81","0.0019370084840972","370"
"Marvel: Ultimate Alliance","PC","2006","Role-Playing","10","NA","NA","NA","10","82","22","80","52","81","0.00096850424204858","331"
"Trine","PC","2009","Action","NA","10","NA","NA","10","80","50","82","488","81","0.00096850424204858","192"
"Tekken 4","PS2","2002","Fighting","1550","1270","330","290","3440","79","23","83","26","81","0.33316545926471","363"
"James Bond 007: Nightfire","PS2","2002","Shooter","1450","1290","120","460","3330","77","20","85","66","81","0.32251191260218","463"
"SOCOM: U.S. Navy SEALs: Combined Assault","PS2","2006","Shooter","1740","20","NA","280","2040","72","38","90","34","81","0.19757486537791","999"
"Spy Hunter","PS2","2001","Racing","1130","320","NA","220","1670","84","28","78","3","81","0.16174020842211","293"
"Dark Cloud","PS2","2000","Role-Playing","830","440","80","190","1540","80","27","82","99","81","0.14914965327548","629"
"Dead to Rights","PS2","2002","Shooter","670","520","NA","170","1360","73","20","89","36","81","0.13171657691861","307"
"ATV Offroad Fury 3","PS2","2004","Racing","1000","40","NA","160","1200","78","37","84","6","81","0.11622050904583","568"
"Dynasty Warriors 4: Xtreme Legends","PS2","2003","Action","170","130","510","40","860","72","5","90","39","81","0.083291364816178","315"
"Marvel: Ultimate Alliance","PS2","2006","Role-Playing","690","30","NA","110","820","80","29","82","33","81","0.079417347847984","175"
"Armored Core 2","PS2","2000","Simulation","280","220","230","70","790","78","23","84","9","81","0.076511835121838","122"
"Wild ARMs 3","PS2","2002","Role-Playing","160","130","290","40","620","78","30","84","38","81","0.060047263007012","350"
"Tales of the Abyss","PS2","2005","Role-Playing","NA","NA","570","NA","570","78","22","84","9","81","0.055204741796769","800"
"Capcom Classics Collection","PS2","2005","Misc","220","170","50","60","510","78","30","84","5","81","0.049393716344478","7"
"Secret Weapons Over Normandy","PS2","2003","Simulation","240","180","NA","60","480","80","26","82","9","81","0.046488203618332","39"
"Naruto: Ultimate Ninja 3","PS2","2005","Fighting","360","10","NA","60","440","75","24","87","33","81","0.042614186650138","615"
"Monster Rancher 3","PS2","2001","Simulation","110","90","140","30","360","77","3","85","23","81","0.034866152713749","401"
"Rayman 3: Hoodlum Havoc","PS2","2003","Platform","140","110","NA","40","290","76","20","86","38","81","0.028086623019409","794"
"The Bard's Tale","PS2","2004","Role-Playing","100","80","NA","30","210","76","44","86","4","81","0.02033858908302","832"
"Viewtiful Joe 2","PS2","2004","Action","100","80","NA","30","210","85","29","77","7","81","0.02033858908302","442"
"EverQuest Online Adventures: Frontiers","PS2","2003","Role-Playing","90","70","NA","20","190","77","6","85","7","81","0.018401580598923","371"
"MTV Music Generator 2","PS2","2001","Misc","80","60","NA","20","150","77","6","85","NA","81","0.014527563630729","149"
"Ape Escape 3","PS2","2005","Platform","60","50","NA","20","130","77","50","85","22","81","0.012590555146632","281"
"In The Groove","PS2","2005","Misc","40","30","NA","10","70","72","4","90","3","81","0.0067795296943401","701"
"Greg Hastings' Tournament Paintball Max'd","PS2","2006","Shooter","10","NA","NA","NA","10","70","8","92","32","81","0.00096850424204858","687"
"FIFA Soccer 09","PS3","2008","Sports","480","1630","40","430","2580","87","42","75","8","81","0.24987409444853","806"
"Borderlands","PS3","2009","Shooter","1200","600","NA","290","2090","83","58","79","427","81","0.20241738658815","10"
"Fight Night Round 3","PS3","2006","Fighting","810","580","10","260","1670","83","37","79","24","81","0.16174020842211","72"
"Heavenly Sword","PS3","2007","Action","570","720","60","290","1650","79","64","83","544","81","0.15980319993802","534"
"MotorStorm: Pacific Rift","PS3","2008","Racing","430","650","20","250","1350","82","63","80","308","81","0.13074807267656","763"
"F1 2010","PS3","2010","Racing","250","750","80","260","1340","84","46","78","83","81","0.12977956843451","415"
"Tom Clancy's Rainbow Six: Vegas","PS3","2007","Shooter","470","530","30","220","1250","86","32","76","80","81","0.12106303025607","854"
"MLB 12: The Show","PS3","2012","Sports","860","NA","NA","60","920","87","23","75","75","81","0.089102390268469","602"
"Skate 2","PS3","2009","Sports","460","250","10","120","840","84","50","78","53","81","0.081354356332081","828"
"Devil May Cry HD Collection","PS3","2012","Action","420","190","110","90","820","74","27","88","58","81","0.079417347847984","574"
"Sid Meier's Civilization Revolution","PS3","2008","Strategy","490","190","10","90","780","85","39","77","87","81","0.075543330879789","596"
"Blur","PS3","2010","Racing","220","360","20","120","720","80","58","82","86","81","0.069732305427498","999"
"Metro: Last Light","PS3","2013","Action","140","180","30","70","420","80","23","82","508","81","0.04067717816604","614"
"Condemned 2: Bloodshot","PS3","2008","Action","170","160","NA","60","390","82","37","80","89","81","0.037771665439895","169"
"Far Cry 4","PS4","2014","Shooter","1130","2180","100","630","4040","85","83","77","653","81","0.39127571378763","768"
"Gravity Rush Remastered","PS4","2015","Action","20","50","40","10","130","80","62","82","53","81","0.012590555146632","161"
"Final Fantasy XIV: Heavensward","PS4","2015","Action","NA","60","60","10","130","86","20","76","225","81","0.012590555146632","538"
"Terraria","PS4","2014","Action","NA","50","10","10","70","83","4","79","47","81","0.0067795296943401","732"
"Child of Light","PS4","2014","Role-Playing","NA","10","40","NA","50","82","46","80","450","81","0.0048425212102429","718"
"Pure","X360","2008","Racing","1380","840","NA","250","2470","85","55","77","83","81","0.239220547786","808"
"Halo: Combat Evolved Anniversary","X360","2011","Shooter","1440","700","40","220","2400","82","73","80","487","81","0.23244101809166","562"
"UFC 2009 Undisputed","X360","2009","Fighting","1480","390","NA","190","2060","83","68","79","50","81","0.19951187386201","202"
"Darksiders","X360","2010","Action","670","280","10","100","1060","83","80","79","292","81","0.10266144965715","279"
"Brutal Legend","X360","2009","Action","620","260","NA","90","970","82","88","80","268","81","0.093944911478712","915"
"Sid Meier's Civilization Revolution","X360","2008","Strategy","580","170","NA","70","830","84","55","78","70","81","0.080385852090032","887"
"Tiger Woods PGA Tour 09","X360","2008","Sports","350","230","NA","70","650","84","40","78","29","81","0.062952775733158","648"
"Split/Second","X360","2010","Racing","320","230","NA","60","600","82","78","80","NA","81","0.058110254522915","181"
"NBA 2K7","X360","2006","Sports","530","NA","NA","40","580","84","46","78","67","81","0.056173246038818","590"
"NBA Street Homecourt","X360","2007","Sports","450","10","NA","40","500","80","42","82","30","81","0.048425212102429","46"
"Transformers: Fall of Cybertron","X360","2012","Action","280","120","NA","40","440","79","52","83","60","81","0.042614186650138","190"
"The Darkness","X360","2007","Shooter","360","40","10","30","440","82","63","80","96","81","0.042614186650138","816"
"Condemned: Criminal Origins","X360","2005","Action","360","20","NA","30","410","80","72","82","46","81","0.039708673923992","796"
"Dance Dance Revolution Universe","X360","2007","Simulation","300","NA","NA","20","320","74","26","88","5","81","0.030992135745555","644"
"Test Drive Unlimited","X360","2006","Racing","230","40","20","20","320","82","69","80","86","81","0.030992135745555","661"
"Culdcept SAGA","X360","2006","Role-Playing","120","NA","30","10","160","75","33","87","49","81","0.015496067872777","442"
"Bejeweled 3","X360","2010","Puzzle","130","NA","NA","10","140","78","3","84","NA","81","0.01355905938868","686"
"Doom 3","XB","2005","Shooter","850","430","NA","60","1340","88","70","74","6","81","0.12977956843451","617"
"Dead to Rights","XB","2002","Shooter","530","170","NA","30","720","73","39","89","6","81","0.069732305427498","702"
"Battlefield 2: Modern Combat","XB","2005","Shooter","390","150","NA","20","560","80","49","82","29","81","0.05423623755472","706"
"Major League Baseball 2K5","XB","2005","Sports","520","20","NA","20","560","80","25","82","7","81","0.05423623755472","826"
"NBA Ballers","XB","2004","Sports","370","110","NA","20","510","82","35","80","8","81","0.049393716344478","192"
"Midnight Club II","XB","2003","Racing","420","60","NA","20","500","86","33","76","2","81","0.048425212102429","21"
"NFL Fever 2004","XB","2003","Sports","240","70","NA","10","320","74","29","88","6","81","0.030992135745555","536"
"Super Monkey Ball Deluxe","XB","2005","Misc","110","30","NA","10","150","80","25","82","9","81","0.014527563630729","832"
"Guilty Gear X2 #Reload","XB","2004","Fighting","110","30","NA","10","150","86","34","76","2","81","0.014527563630729","977"
"Sniper Elite","XB","2005","Shooter","70","20","NA","NA","90","77","25","85","NA","81","0.0087165381784372","607"
"NCAA Football 08","XB","2007","Sports","60","20","NA","NA","80","82","4","80","8","81","0.0077480339363886","840"
"Aggressive Inline","XB","2002","Sports","50","10","NA","NA","60","85","20","77","7","81","0.0058110254522915","551"
"Otogi 2: Immortal Warriors","XB","2003","Action","40","10","NA","NA","50","79","43","83","2","81","0.0048425212102429","398"
"Dai Senryaku VII: Modern Military Tactics","XB","2003","Strategy","30","10","NA","NA","40","74","NA","88","6","81","0.0038740169681943","80"
"Total Overdose: A Gunslinger's Tale in Mexico","XB","2005","Shooter","20","10","NA","NA","20","70","28","92","27","81","0.0019370084840972","116"
"The Sims: Superstar","PC","2003","Simulation","1670","NA","NA","NA","1680","79","20","82","25","80.5","0.16270871266416","762"
"Assassin's Creed IV: Black Flag","PC","2013","Action","220","380","NA","50","640","84","NA","77","470","80.5","0.061984271491109","572"
"Sid Meier's Civilization VI","PC","2016","Strategy","90","130","NA","20","250","88","80","73","684","80.5","0.024212606051215","45"
"Darksiders","PC","2010","Action","70","60","NA","20","150","83","8","78","603","80.5","0.014527563630729","100"
"Just Cause 2","PC","2010","Action","NA","100","NA","20","120","84","33","77","838","80.5","0.011622050904583","609"
"Runaway: A Twist of Fate","PC","2009","Adventure","NA","40","NA","10","40","79","5","82","40","80.5","0.0038740169681943","375"
"Split/Second","PC","2010","Racing","NA","40","NA","10","40","79","8","82","6","80.5","0.0038740169681943","844"
"Star Wars: Empire at War - Forces of Corruption","PC","2006","Strategy","NA","20","NA","NA","20","75","25","86","79","80.5","0.0019370084840972","734"
"Vietcong","PC","2003","Shooter","NA","20","NA","NA","20","74","22","87","76","80.5","0.0019370084840972","989"
"Tomb Raider: Legend","PC","2006","Action","NA","10","NA","NA","20","82","30","79","244","80.5","0.0019370084840972","483"
"Harry Potter and the Chamber of Secrets","PC","2002","Action","NA","10","NA","NA","10","77","8","84","93","80.5","0.00096850424204858","882"
"SOCOM: U.S. Navy SEALs","PS2","2002","Shooter","2530","810","60","240","3650","82","42","79","82","80.5","0.35350404834773","572"
"Pro Evolution Soccer 2008","PS2","2007","Sports","50","NA","640","2930","3630","82","NA","79","38","80.5","0.35156703986363","973"
"LEGO Indiana Jones: The Original Adventures","PS2","2008","Action","600","10","NA","760","1370","77","2","84","6","80.5","0.13268508116066","5"
"SingStar '80s","PS2","2005","Misc","270","20","NA","1020","1300","78","22","83","6","80.5","0.12590555146632","385"
"Transformers","PS2","2004","Shooter","630","490","NA","160","1290","75","50","86","27","80.5","0.12493704722427","192"
"Scarface: The World is Yours","PS2","2006","Action","990","40","NA","160","1190","75","46","86","3","80.5","0.11525200480378","190"
"Mobile Suit Gundam: Federation vs. Zeon","PS2","2001","Simulation","120","100","880","30","1140","73","5","88","32","80.5","0.11040948359354","948"
"NHL 2004","PS2","2003","Sports","470","370","NA","120","970","85","9","76","53","80.5","0.093944911478712","559"
"Front Mission 4","PS2","2003","Strategy","140","110","250","40","540","75","39","86","22","80.5","0.052299229070623","432"
"NCAA March Madness 2005","PS2","2004","Sports","440","20","NA","70","530","78","9","83","3","80.5","0.051330724828575","105"
"MLB SlugFest 20-04","PS2","2003","Sports","260","200","NA","70","530","78","23","83","8","80.5","0.051330724828575","543"
"Theme Park Roller Coaster","PS2","2000","Strategy","230","180","NA","60","480","82","NA","79","7","80.5","0.046488203618332","788"
"Kelly Slater's Pro Surfer","PS2","2002","Sports","160","130","NA","40","330","77","9","84","5","80.5","0.031960639987603","89"
"Disney's Extreme Skate Adventure","PS2","2003","Sports","160","120","NA","40","320","78","5","83","2","80.5","0.030992135745555","972"
"Shadow Hearts","PS2","2001","Role-Playing","90","70","100","20","280","73","24","88","55","80.5","0.02711811877736","74"
"Mega Man X Collection","PS2","2006","Misc","120","90","NA","30","240","73","23","88","4","80.5","0.023244101809166","98"
"Tribes: Aerial Assault","PS2","2002","Shooter","110","90","NA","30","230","73","23","88","47","80.5","0.022275597567117","536"
"Maximo vs Army of Zin","PS2","2003","Platform","100","80","NA","30","210","83","46","78","3","80.5","0.02033858908302","669"
"Project: Snowblind","PS2","2005","Action","100","80","NA","30","210","78","54","83","23","80.5","0.02033858908302","211"
"Transworld Surf","PS2","2002","Sports","90","70","NA","20","190","76","5","85","6","80.5","0.018401580598923","716"
"Buffy the Vampire Slayer: Chaos Bleeds","PS2","2003","Action","90","70","NA","20","180","72","27","89","47","80.5","0.017433076356874","593"
"EyeToy: Kinetic","PS2","2005","Sports","90","70","NA","20","170","78","32","83","NA","80.5","0.016464572114826","553"
"Indigo Prophecy","PS2","2005","Adventure","70","60","NA","20","150","83","47","78","4","80.5","0.014527563630729","682"
"World Tour Soccer 2003","PS2","2002","Sports","70","50","NA","20","140","78","20","83","7","80.5","0.01355905938868","727"
"Alien Hominid","PS2","2004","Shooter","50","40","NA","10","100","78","47","83","3","80.5","0.0096850424204858","520"
"Shin Megami Tensei: Digital Devil Saga 2","PS2","2005","Role-Playing","40","30","NA","10","80","82","38","79","38","80.5","0.0077480339363886","93"
"Robot Alchemic Drive","PS2","2002","Action","30","30","NA","10","70","79","20","82","3","80.5","0.0067795296943401","683"
"The King of Fighters 02/03","PS2","2005","Fighting","30","30","NA","10","70","73","28","88","4","80.5","0.0067795296943401","203"
"Rez","PS2","2001","Shooter","30","20","NA","10","50","78","34","83","28","80.5","0.0048425212102429","827"
"Call of Duty: World at War","PS3","2008","Shooter","2730","1830","NA","830","5390","85","45","76","409","80.5","0.52202378646418","200"
"Need for Speed: Hot Pursuit","PS3","2010","Racing","1050","1230","30","470","2780","89","59","72","300","80.5","0.26924417928951","263"
"Guitar Hero III: Legends of Rock","PS3","2007","Misc","1400","530","20","300","2240","83","45","78","52","80.5","0.21694495021888","999"
"LEGO Marvel Super Heroes","PS3","2013","Action","770","760","10","290","1840","82","22","79","76","80.5","0.17820478053694","347"
"Dragon's Dogma","PS3","2012","Role-Playing","410","440","720","170","1740","78","38","83","444","80.5","0.16851973811645","154"
"Saints Row 2","PS3","2008","Action","880","540","20","250","1680","82","50","79","35","80.5","0.16270871266416","112"
"Resistance 3","PS3","2011","Shooter","640","570","50","220","1480","83","90","78","543","80.5","0.14333862782319","161"
"Naruto: Ultimate Ninja Storm","PS3","2008","Fighting","490","340","90","150","1070","75","32","86","95","80.5","0.1036299538992","605"
"Tom Clancy's Splinter Cell: Blacklist","PS3","2013","Action","340","390","60","150","940","84","27","77","304","80.5","0.091039398752567","721"
"Pure","PS3","2008","Racing","420","330","NA","140","890","83","43","78","30","80.5","0.086196877542324","323"
"NBA 2K10","PS3","2009","Sports","750","10","10","70","840","83","30","78","39","80.5","0.081354356332081","856"
"NHL 12","PS3","2011","Sports","360","150","NA","70","580","86","33","75","52","80.5","0.056173246038818","42"
"Pinball Hall of Fame: The Williams Collection","PS3","2009","Misc","200","NA","NA","20","220","82","6","79","8","80.5","0.021307093325069","139"
"Darksiders","PS3","2010","Action","10","NA","NA","NA","20","82","73","79","309","80.5","0.0019370084840972","929"
"Assassin's Creed IV: Black Flag","PS4","2013","Action","1070","1310","60","420","2850","83","29","78","530","80.5","0.27602370898385","127"
"Until Dawn","PS4","2015","Adventure","450","900","50","260","1660","79","3","82","2060","80.5","0.16077170418006","388"
"Naruto Shippuden: Ultimate Ninja Storm 4","PS4","2016","Fighting","410","450","110","170","1140","79","60","82","200","80.5","0.11040948359354","288"
"Watch Dogs 2","PS4","2016","Action","370","580","NA","180","1130","83","88","78","620","80.5","0.10944097935149","297"
"Pro Evolution Soccer 2017","PS4","2016","Sports","20","270","110","50","450","85","60","76","478","80.5","0.043582690892186","467"
"BlazBlue Central Fiction","PS4","2016","Fighting","40","NA","30","10","80","85","20","76","39","80.5","0.0077480339363886","528"
"Dead Rising","X360","2006","Action","1160","640","80","200","2080","85","82","76","520","80.5","0.2014488823461","933"
"FIFA Soccer 08","X360","2007","Sports","310","890","10","140","1350","82","43","79","57","80.5","0.13074807267656","660"
"UFC Undisputed 3","X360","2012","Action","720","200","NA","80","990","85","60","76","88","80.5","0.095881919962809","152"
"Lost Odyssey","X360","2007","Role-Playing","450","260","110","80","900","78","68","83","432","80.5","0.087165381784372","154"
"Tales of Vesperia","X360","2008","Role-Playing","320","170","190","50","740","79","67","82","264","80.5","0.071669313911595","632"
"Castlevania: Lords of Shadow","X360","2010","Action","420","170","10","50","660","83","70","78","237","80.5","0.063921279975206","716"
"Viva Pinata: Trouble in Paradise","X360","2008","Simulation","160","250","10","50","470","82","64","79","60","80.5","0.045519699376283","25"
"Child of Eden","X360","2011","Shooter","280","120","NA","40","440","84","80","77","95","80.5","0.042614186650138","828"
"Devil May Cry HD Collection","X360","2012","Action","280","110","10","30","430","77","32","84","93","80.5","0.041645682408089","920"
"The King of Fighters XIII","X360","2011","Fighting","230","60","10","30","330","79","30","82","50","80.5","0.031960639987603","147"
"Catherine","X360","2011","Adventure","200","60","30","20","310","82","39","79","53","80.5","0.030023631503506","765"
"You Don't Know Jack","X360","2011","Misc","190","NA","NA","10","210","82","23","79","29","80.5","0.02033858908302","123"
"NBA Live 2005","XB","2004","Sports","810","50","NA","40","900","85","28","76","4","80.5","0.087165381784372","887"
"Tony Hawk's Underground 2","XB","2004","Sports","480","240","NA","30","750","83","55","78","2","80.5","0.072637818153644","141"
"Dance Dance Revolution Ultramix 3","XB","2005","Simulation","280","80","NA","10","380","75","6","86","8","80.5","0.036803161197846","756"
"MVP 06 NCAA Baseball","XB","2006","Sports","250","70","NA","10","340","75","29","86","7","80.5","0.032929144229652","268"
"Outlaw Volleyball","XB","2003","Sports","190","60","NA","10","260","77","33","84","7","80.5","0.025181110293263","575"
"FIFA World Cup Germany 2006","XB","2006","Sports","180","50","NA","10","240","77","22","84","9","80.5","0.023244101809166","407"
"Spartan: Total Warrior","XB","2005","Action","100","30","NA","NA","130","73","36","88","2","80.5","0.012590555146632","486"
"Indigo Prophecy","XB","2005","Adventure","70","30","NA","NA","100","84","50","77","39","80.5","0.0096850424204858","126"
"Worms 4: Mayhem","XB","2005","Strategy","30","10","NA","NA","40","69","27","92","6","80.5","0.0038740169681943","757"
"Dreamfall: The Longest Journey","XB","2006","Adventure","30","10","NA","NA","40","73","42","88","24","80.5","0.0038740169681943","836"
"The Elder Scrolls Online","XOne","2015","Role-Playing","780","380","NA","120","1280","77","NA","84","603","80.5","0.12396854298222","34"
"Rare Replay","XOne","2015","Misc","490","220","10","70","790","84","75","77","325","80.5","0.076511835121838","911"
"Terraria","XOne","2014","Action","NA","40","NA","NA","40","84","5","77","29","80.5","0.0038740169681943","489"
"The Sims 3: World Adventures","PC","2009","Simulation","20","180","NA","380","570","80","30","80","72","80","0.055204741796769","101"
"Metro 2033","PC","2010","Shooter","NA","190","NA","50","240","80","40","80","472","80","0.023244101809166","233"
"Saints Row IV","PC","2013","Action","110","60","NA","20","190","86","45","74","543","80","0.018401580598923","255"
"FIFA Soccer 11","PC","2010","Sports","NA","140","NA","40","180","83","6","77","2","80","0.017433076356874","741"
"Dark Souls II","PC","2014","Role-Playing","80","80","NA","10","170","90","36","70","2308","80","0.016464572114826","349"
"Sonic Generations","PC","2011","Platform","20","70","NA","20","110","77","NA","83","337","80","0.010653546662534","61"
"Mirror's Edge","PC","2009","Platform","NA","50","NA","10","60","80","44","80","26","80","0.0058110254522915","956"
"Praetorians","PC","2003","Strategy","NA","40","NA","NA","40","78","23","82","38","80","0.0038740169681943","875"
"The Void","PC","2008","Adventure","NA","30","NA","10","30","77","2","83","97","80","0.0029055127261457","102"
"Men of War","PC","2009","Strategy","10","20","NA","NA","30","80","22","80","36","80","0.0029055127261457","934"
"Cossacks: European Wars","PC","2001","Strategy","NA","20","NA","NA","30","74","6","86","60","80","0.0029055127261457","893"
"Overlord","PC","2007","Strategy","NA","20","NA","NA","20","80","27","80","220","80","0.0019370084840972","101"
"Painkiller","PC","2004","Shooter","NA","20","NA","NA","20","80","62","80","284","80","0.0019370084840972","628"
"A Vampyre Story","PC","2008","Adventure","NA","10","NA","NA","20","75","33","85","25","80","0.0019370084840972","810"
"Codename: Panzers Phase Two","PC","2005","Strategy","NA","10","NA","NA","10","80","36","80","5","80","0.00096850424204858","881"
"The Chronicles of Riddick: Assault on Dark Athena","PC","2009","Shooter","NA","10","NA","NA","10","80","26","80","36","80","0.00096850424204858","250"
"The Sims","PS2","2003","Simulation","1410","1120","NA","240","2770","83","33","77","46","80","0.26827567504746","193"
"SpongeBob SquarePants: Battle for Bikini Bottom","PS2","2003","Platform","1080","450","NA","140","1670","70","9","90","85","80","0.16174020842211","345"
"Dave Mirra Freestyle BMX 2","PS2","2001","Sports","670","530","NA","180","1380","80","20","80","8","80","0.1336535854027","942"
"Samurai Warriors","PS2","2004","Action","220","50","1060","20","1350","73","37","87","23","80","0.13074807267656","763"
".hack//Infection Part 1","PS2","2002","Role-Playing","490","380","260","130","1270","75","35","85","60","80","0.12300003874017","944"
"Mortal Kombat: Armageddon","PS2","2006","Fighting","880","40","NA","140","1060","75","43","85","84","80","0.10266144965715","655"
