"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"Chrono Cross","PS","1999","Role-Playing","0.62","0.42","0.69","0.12","1.86","94","16","8.10","297"
"Jak 3","PS2","2004","Platform","1.33","0.49","0","0.03","1.85","84","55","8.60","246"
"Kingdom Hearts: Chain of Memories","GBA","2004","Role-Playing","1.26","0.18","0.35","0.06","1.85","76","37","7.90","84"
"Pinball","NES","1984","Action","0.8","0.19","0.83","0.03","1.85","1","1","1.00","1"
"Max Payne 3","PS3","2012","Shooter","0.59","0.89","0.06","0.3","1.85","87","31","7.80","790"
"Gran Turismo Concept 2001 Tokyo","PS2","2001","Racing","0","1.1","0.42","0.33","1.84","1","1","1.00","1"
"LEGO Marvel Super Heroes","PS3","2013","Action","0.77","0.76","0.01","0.29","1.84","82","22","7.90","76"
"Phineas and Ferb","DS","2009","Action","1.32","0.37","0","0.15","1.84","80","4","4.50","8"
"NCAA Football 06","PS2","2005","Sports","1.53","0.05","0","0.25","1.84","87","25","8.50","36"
"Hey You, Pikachu!","N64","1998","Simulation","0.83","0.06","0.93","0","1.83","1","1","1.00","1"
"Rayman Raving Rabbids 2","Wii","2007","Misc","0.82","0.82","0","0.2","1.83","67","25","8.30","66"
"2 Games in 1: Sonic Advance & ChuChu Rocket!","GBA","2005","Misc","1.31","0.49","0","0.03","1.83","1","1","1.00","1"
"Jet Moto","PS","1996","Racing","1.33","0.4","0.03","0.07","1.83","1","1","1.00","1"
"Kirby: Triple Deluxe","3DS","2014","Platform","0.61","0.34","0.79","0.09","1.83","80","68","8.80","206"
"Secret of Mana","SNES","1993","Role-Playing","0.25","0.07","1.49","0.02","1.83","1","1","1.00","1"
"GoldenEye 007 (2010)","Wii","2010","Action","0.84","0.7","0.13","0.16","1.83","1","1","1.00","1"
"Sonic Classic Collection","DS","2010","Platform","0.92","0.73","0","0.17","1.83","70","24","7.50","28"
"Air Combat","PS","1995","Simulation","0.92","0.33","0.52","0.05","1.83","1","1","1.00","1"
"Diablo III","PS4","2014","Role-Playing","0.51","0.98","0.06","0.28","1.82","1","1","1.00","1"
"inFAMOUS 2","PS3","2011","Action","1.05","0.47","0.08","0.22","1.82","83","90","8.40","932"
"World of Warcraft: Mists of Pandaria","PC","2012","Role-Playing","0.84","0.76","0","0.22","1.82","82","42","4.80","1265"
"Sonic & Knuckles","GEN","1994","Platform","1.24","0.43","0.03","0.12","1.82","1","1","1.00","1"
"Namco Museum","PS2","2001","Misc","1.73","0.07","0","0.02","1.82","72","9","6.00","5"
"The Sims: Hot Date","PC","2001","Simulation","1.81","0","0","0","1.82","85","17","7.90","70"
"Demon's Souls","PS3","2009","Role-Playing","0.97","0.33","0.35","0.17","1.82","89","81","8.90","1441"
"The Orange Box","X360","2007","Shooter","1.09","0.53","0.02","0.17","1.82","96","54","8.90","797"
"DDRMAX2: Dance Dance Revolution","PS2","2003","Simulation","1.05","0.59","0","0.18","1.81","82","27","8.20","11"
"Crazy Taxi","DC","2000","Racing","1.1","0.51","0.12","0.08","1.81","1","1","1.00","1"
"Virtua Fighter 4","PS2","2002","Fighting","0.78","0.44","0.56","0.04","1.81","94","36","8.00","84"
"Mafia III","PS4","2016","Action","0.42","1.08","0.03","0.28","1.81","68","66","5.10","1147"
"Sly 2: Band of Thieves","PS2","2004","Platform","0.88","0.69","0","0.23","1.81","88","64","9.00","178"
"Guitar Hero: World Tour","PS2","2008","Misc","1","0.03","0","0.77","1.8","1","1","8.00","13"
"Sonic Advance 2","GBA","2002","Platform","0.93","0.59","0.21","0.07","1.8","83","23","8.30","46"
"Madden NFL 07","X360","2006","Sports","1.66","0","0.01","0.13","1.8","80","54","6.00","148"
"NFL GameDay 2000","PS","1999","Sports","1","0.68","0","0.12","1.8","1","1","1.00","1"
"NBA 2K11","PS3","2010","Action","1.41","0.2","0.03","0.16","1.8","89","46","7.60","105"
"Forza Motorsport 6","XOne","2015","Racing","0.73","0.9","0.03","0.14","1.8","87","85","7.90","863"
"The Evil Within","PS4","2014","Action","0.55","0.86","0.11","0.27","1.79","75","65","7.30","1223"
"Metroid Prime 3: Corruption","Wii","2007","Shooter","0.89","0.74","0.07","0.09","1.79","90","62","8.90","491"
"The Legend of Zelda: The Wind Waker","WiiU","2013","Action","0.92","0.6","0.14","0.14","1.79","1","1","1.00","1"
"Disney's The Lion King","SNES","1994","Platform","1.26","0.39","0.08","0.06","1.79","1","1","1.00","1"
"Professor Layton and the Mask of Miracle","3DS","2011","Puzzle","0.32","0.97","0.36","0.13","1.79","1","1","1.00","1"
"Midnight Club II","PS2","2003","Racing","1.25","0.29","0","0.24","1.78","85","41","8.50","47"
"SpongeBob SquarePants: SuperSponge","PS","2001","Action","1.12","0.58","0","0.08","1.78","1","1","1.00","1"
"The Getaway: Black Monday","PS2","2004","Action","0.39","1.01","0.02","0.36","1.78","57","53","7.60","47"
"50 Cent: Bulletproof","PS2","2005","Action","0.85","0.76","0","0.16","1.77","47","21","6.60","129"
"Final Fantasy II","SNES","1991","Role-Playing","0.24","0.09","1.33","0.12","1.77","1","1","1.00","1"
"Kirby 64: The Crystal Shards","N64","2000","Platform","0.63","0.06","1.03","0.04","1.77","1","1","1.00","1"
"Dead or Alive 3","XB","2001","Fighting","1.19","0.29","0.24","0.06","1.77","87","35","8.60","44"
"Dragon Quest Monsters: Joker","DS","2006","Role-Playing","0.23","0.02","1.49","0.02","1.76","75","30","7.40","27"
"LEGO Star Wars III: The Clone Wars","Wii","2011","Action","1.01","0.6","0","0.15","1.76","76","7","7.70","10"
"High School Musical: Sing It!","Wii","2007","Misc","1.15","0.45","0","0.16","1.76","1","1","1.00","1"
"Metroid II: Return of Samus","GB","1991","Adventure","0.85","0.31","0.56","0.04","1.76","1","1","1.00","1"
"WWF Attitude","PS","1998","Fighting","1.27","0.42","0","0.07","1.76","1","1","1.00","1"
"UFC 2009 Undisputed","PS3","2009","Fighting","1.07","0.44","0.01","0.24","1.76","84","58","8.10","47"
"The SpongeBob SquarePants Movie","PS2","2004","Platform","1.06","0.54","0","0.16","1.76","75","5","9.00","54"
"Golden Sun","GBA","2001","Role-Playing","0.93","0.38","0.4","0.06","1.76","91","29","9.30","198"
"Sonic the Hedgehog 3","GEN","1994","Platform","1.02","0.47","0.2","0.07","1.76","1","1","1.00","1"
"Kid Icarus","NES","1986","Platform","0.53","0.12","1.09","0.02","1.76","1","1","1.00","1"
"Def Jam: Fight for NY","PS2","2004","Fighting","0.86","0.67","0","0.22","1.76","83","46","8.90","73"
"Tom Clancy's Ghost Recon","XB","2002","Shooter","1.23","0.46","0","0.07","1.76","84","29","6.10","27"
"State of Emergency","PS2","2002","Action","0.86","0.67","0","0.22","1.76","71","34","5.70","33"
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA","2007","Action","1.26","0.47","0","0.03","1.76","1","1","1.00","1"
"The Urbz: Sims in the City","PS2","2004","Simulation","0.52","0.95","0","0.29","1.76","70","25","8.20","24"
"Star Wars: Starfighter","PS2","2001","Simulation","0.61","0.87","0.02","0.26","1.76","84","25","8.00","21"
"Madden NFL 2000","PS","1998","Sports","1.68","0.04","0","0.04","1.75","1","1","1.00","1"
"Star Wars: Battlefront","XB","2004","Shooter","1.24","0.45","0","0.07","1.75","80","55","9.10","57"
"Pro Evolution Soccer","PS2","2001","Sports","0.06","0.9","0.53","0.27","1.75","1","1","1.00","1"
"Madden NFL 17","PS4","2016","Sports","1.25","0.17","0","0.32","1.75","82","35","4.90","83"
"Just Cause 2","PS3","2010","Action","0.45","0.92","0.06","0.32","1.75","83","66","8.00","291"
"Disney's Aladdin","SNES","1993","Platform","0.94","0.34","0.21","0.27","1.75","1","1","1.00","1"
"Kirby's Adventure","NES","1993","Platform","0.79","0.14","0.8","0.02","1.75","1","1","1.00","1"
"Yoshi","NES","1991","Puzzle","0.7","0.13","0.91","0.01","1.75","1","1","1.00","1"
"The Elder Scrolls Online","PS4","2015","Role-Playing","0.67","0.79","0","0.29","1.75","1","1","1.00","1"
"FIFA Soccer 08","PS3","2007","Sports","0.35","1.06","0.02","0.31","1.75","81","28","7.10","47"
"Crackdown","X360","2007","Shooter","1","0.53","0.03","0.18","1.75","83","75","8.00","340"
"Wii Party U","WiiU","2013","Misc","0.3","0.56","0.84","0.05","1.75","65","38","6.80","135"
"Dance Dance Revolution X","PS2","2008","Simulation","0.85","0.66","0.01","0.22","1.75","55","6","6.20","6"
"2 Games in 1: Disney Princess & The Lion King","GBA","2004","Misc","1.25","0.46","0","0.03","1.75","1","1","1.00","1"
"Kingdom Hearts","PS3","2013","Role-Playing","0.9","0.35","0.25","0.24","1.74","1","1","1.00","1"
"Star Wars Episode I: The Phantom Menace","PS","1999","Adventure","0.72","0.89","0.04","0.1","1.74","1","1","1.00","1"
"Xenosaga Episode I: Der Wille zur Macht","PS2","2002","Role-Playing","0.63","0.49","0.45","0.17","1.74","83","35","8.70","99"
"Watch Dogs","PS3","2014","Action","0.56","0.81","0.1","0.27","1.74","1","1","5.10","383"
"Kinect Star Wars","X360","2012","Action","1.05","0.52","0.03","0.14","1.74","55","61","3.50","145"
"Dragon's Dogma","PS3","2012","Role-Playing","0.41","0.44","0.72","0.17","1.74","78","38","8.30","444"
"Cruis'n USA","N64","1996","Racing","1.69","0.04","0","0.01","1.74","1","1","1.00","1"
"Madden NFL 99","PS","1998","Sports","1.66","0.04","0","0.04","1.74","1","1","1.00","1"
"The Order: 1886","PS4","2015","Shooter","0.61","0.78","0.06","0.27","1.74","63","94","6.60","3172"
"SSX Tricky","PS2","2001","Sports","0.85","0.66","0","0.22","1.73","92","33","8.90","71"
"Knack","PS4","2013","Platform","0.43","0.68","0.42","0.2","1.73","54","83","6.50","1074"
"Twisted Metal III","PS","1998","Action","1.48","0.2","0","0.05","1.73","1","1","1.00","1"
"Harry Potter and the Sorcerer's Stone","GB","2001","Action","0.94","0.62","0.1","0.07","1.73","1","1","1.00","1"
"Dragon Quest VI: Realms of Revelation","DS","2010","Role-Playing","0.2","0.14","1.35","0.03","1.73","78","41","8.10","31"
"Crash Bandicoot: The Huge Adventure","GBA","2002","Platform","0.95","0.7","0","0.08","1.73","78","18","7.90","27"
"Hitman: Absolution","X360","2012","Action","0.68","0.88","0.01","0.17","1.73","79","51","7.10","453"
"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","PS2","2003","Action","0.85","0.66","0","0.22","1.72","1","1","1.00","1"
"The Crew","PS4","2014","Racing","0.35","1.08","0.03","0.26","1.72","61","60","5.40","575"
"Call of Duty: World at War Final Fronts","PS2","2008","Shooter","0.61","0.18","0","0.94","1.72","1","1","1.00","1"
"NBA 2K15","XOne","2014","Sports","1.37","0.18","0","0.18","1.72","82","9","6.30","101"
"Madden NFL 2005","XB","2004","Sports","1.61","0.03","0","0.08","1.72","91","39","7.60","26"
"Star Ocean: Till The End of Time","PS2","2003","Role-Playing","0.8","0.21","0.55","0.15","1.72","80","55","7.70","134"
"Call of Duty: Modern Warfare 3","PC","2011","Shooter","0.41","0.98","0","0.32","1.72","78","26","2.50","5664"
"Dishonored","X360","2012","Action","1.06","0.5","0.01","0.14","1.71","88","56","7.90","815"
"Toy Story 2: Buzz Lightyear to the Rescue!","PS","1998","Platform","0.99","0.64","0","0.08","1.71","1","1","1.00","1"
"The Beatles: Rock Band","Wii","2009","Misc","1.17","0.39","0","0.15","1.71","89","25","8.90","43"
"Ace Combat 5: The Unsung War","PS2","2004","Simulation","0.88","0.34","0.32","0.18","1.71","84","57","9.10","81"
"Need for Speed Underground","XB","2003","Racing","1.09","0.55","0","0.07","1.71","83","25","8.70","35"
"Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS","DS","2006","Misc","0","0","1.71","0","1.71","1","1","1.00","1"
"Tetris Worlds","GBA","2001","Puzzle","1.25","0.39","0","0.06","1.71","65","10","1.00","1"
"Imagine: Teacher","DS","2008","Simulation","0.7","0.82","0","0.19","1.71","1","1","1.00","1"
"Call of Duty: Black Ops 3","X360","2015","Shooter","1.14","0.4","0","0.16","1.71","1","1","1.00","1"
"Deal or No Deal","DS","2007","Misc","1.15","0.4","0","0.15","1.7","20","13","1.90","41"
"FIFA Soccer 10","PS2","2009","Sports","0.23","0.24","0","1.23","1.7","1","1","8.40","9"
"Portal 2","PS3","2011","Shooter","0.83","0.6","0.02","0.24","1.7","95","54","8.40","937"
"Super Puyo Puyo","SNES","1993","Puzzle","0","0","1.69","0.01","1.7","1","1","1.00","1"
"NCAA Football 07","PS2","2006","Sports","1.41","0.05","0","0.23","1.7","87","18","8.60","23"
"The Sims 3: Late Night Expansion Pack","PC","2010","Simulation","0.59","0.87","0","0.23","1.7","74","17","5.30","77"
"No Man's Sky","PS4","2016","Action","0.63","0.76","0.03","0.27","1.7","71","94","4.50","5096"
"Ben 10: Protector of Earth","DS","2007","Action","0.68","0.82","0","0.19","1.7","1","1","1.00","1"
"Cabela's Big Game Hunter 2010","Wii","2009","Sports","1.58","0","0","0.12","1.69","1","1","7.80","4"
"SOCOM 3: U.S. Navy SEALs","PS2","2005","Shooter","1.22","0.34","0.04","0.1","1.69","82","59","8.80","64"
"BioShock Infinite","PS3","2013","Shooter","0.72","0.65","0.04","0.28","1.69","94","27","8.50","1863"
"Jampack Winter '99","PS","1999","Misc","0.94","0.64","0","0.11","1.69","1","1","1.00","1"
"Call of Duty: Black Ops 3","PS3","2015","Shooter","0.49","0.87","0.07","0.26","1.69","1","1","1.00","1"
"WCW vs. nWo: World Tour","N64","1997","Fighting","1.37","0.28","0.03","0.02","1.69","1","1","1.00","1"
"WCW/NWO Thunder","PS","1998","Fighting","1.1","0.48","0.04","0.07","1.69","1","1","1.00","1"
"Harry Potter and the Sorcerer's Stone","GBA","2001","Action","0.87","0.66","0.08","0.08","1.69","64","8","7.10","7"
"Dragon Ball Z: The Legacy of Goku","GBA","2002","Role-Playing","1.52","0.12","0","0.05","1.69","53","15","6.90","28"
"Cooking Mama 3: Shop & Chop","DS","2009","Simulation","0.79","0.65","0.08","0.17","1.69","1","1","1.00","1"
"Resident Evil 4","GC","2005","Action","0.98","0.42","0.22","0.06","1.69","96","82","9.40","767"
"Personal Trainer: Math","DS","2007","Puzzle","0.48","1.12","0","0.08","1.69","63","11","1.00","1"
"Game Party 3","Wii","2009","Puzzle","1.4","0.16","0","0.12","1.68","37","4","1.00","1"
"Need For Speed: Undercover","X360","2008","Racing","0.79","0.7","0.01","0.18","1.68","64","62","5.90","104"
"World Championship Poker: Featuring Howard Lederer - All In","PS2","2006","Misc","0.82","0.64","0","0.22","1.68","1","1","1.00","1"
"NFL GameDay 98","PS","1997","Sports","1.58","0.06","0","0.04","1.68","1","1","1.00","1"
"Sonic Colors","Wii","2010","Platform","0.92","0.6","0.01","0.15","1.68","78","58","8.50","301"
"Saints Row 2","PS3","2008","Action","0.88","0.54","0.02","0.25","1.68","82","50","7.90","135"
"Yoshi's Cookie","GB","1992","Puzzle","0.59","0.24","0.82","0.03","1.68","1","1","1.00","1"
"Time Crisis","PS","1997","Shooter","0.38","0.87","0.33","0.1","1.68","1","1","1.00","1"
"Sid Meier's Civilization V","PC","2010","Strategy","0.98","0.52","0","0.17","1.68","90","70","7.90","2280"
" Fire Emblem Fates","3DS","2015","Role-Playing","0.81","0.23","0.52","0.11","1.68","1","1","1.00","1"
"The Sims: Superstar","PC","2003","Simulation","1.67","0","0","0","1.68","79","20","8.20","25"
"Metroid Fusion","GBA","2002","Action","1.18","0.27","0.17","0.06","1.68","92","44","9.10","200"
"We Ski","Wii","2008","Sports","0.97","0.4","0.14","0.15","1.67","67","32","8.50","12"
"Star Wars Battlefront: Renegade Squadron","PSP","2007","Shooter","0.9","0.46","0","0.32","1.67","73","35","7.90","46"
"SSX 3","PS2","2003","Sports","0.93","0.52","0","0.22","1.67","93","41","9.10","125"
"Madden NFL 2001","PS","2000","Sports","1.58","0.05","0","0.04","1.67","90","14","6.80","4"
"Star Wars: Battlefront II","XB","2005","Shooter","1.22","0.39","0","0.06","1.67","83","40","8.90","106"
"Disney's DuckTales","NES","1989","Platform","0.91","0.3","0.42","0.04","1.67","1","1","1.00","1"
"Tony Hawk's Pro Skater 3","PS","2001","Sports","1.09","0.49","0.02","0.07","1.67","87","10","8.30","36"
"Monsters, Inc.","GBA","2001","Adventure","0.59","0.95","0.03","0.1","1.67","1","1","1.00","1"
"PGR: Project Gotham Racing 2","XB","2003","Racing","0.97","0.59","0.04","0.07","1.67","1","1","1.00","1"
"Dragon Age: Origins","PS3","2009","Role-Playing","0.96","0.42","0.08","0.21","1.67","87","41","7.90","597"
"Spy Hunter","PS2","2001","Racing","1.13","0.32","0","0.22","1.67","84","28","7.80","13"
"NCAA Football 2004","PS2","2003","Sports","1.35","0.09","0","0.23","1.67","94","15","8.80","81"
"Fight Night Round 3","PS3","2006","Fighting","0.81","0.58","0.01","0.26","1.67","83","37","7.90","24"
"StarCraft II: Heart of the Swarm","PC","2013","Strategy","0.83","0.66","0","0.18","1.67","86","68","7.90","1346"
"SpongeBob SquarePants: Battle for Bikini Bottom","PS2","2003","Platform","1.08","0.45","0","0.14","1.67","71","9","9.00","85"
"Until Dawn","PS4","2015","Adventure","0.45","0.9","0.05","0.26","1.66","79","103","8.20","2161"
"Big Beach Sports","Wii","2008","Sports","0.45","1.02","0","0.2","1.66","44","17","8.00","41"
"Street Fighter II': Special Champion Edition","GEN","1992","Fighting","1","0.3","0.31","0.04","1.66","1","1","1.00","1"
"SSX","PS2","2000","Sports","0.78","0.61","0.06","0.2","1.66","93","35","8.30","33"
"Shaun White Snowboarding: Road Trip","Wii","2008","Sports","0.93","0.56","0","0.16","1.66","78","28","8.70","22"
"NBA Ballers","PS2","2004","Sports","0.81","0.63","0","0.21","1.66","83","44","9.20","19"
"Saints Row IV","X360","2013","Action","1.01","0.5","0.01","0.13","1.66","81","42","6.50","325"
"NBA Live 2003","PS2","2002","Sports","1.25","0.15","0.03","0.22","1.66","83","22","8.30","28"
"LEGO Batman 2: DC Super Heroes","X360","2012","Action","0.9","0.61","0","0.15","1.66","79","59","7.20","114"
"Dragon Ball Z: Budokai Tenkaichi","PS2","2005","Fighting","0.96","0.12","0.54","0.04","1.66","72","29","8.40","71"
"Dark Souls III","PS4","2016","Role-Playing","0.65","0.45","0.34","0.22","1.65","89","69","8.80","1940"
"Ms. Pac-Man","Atari 2600","1981","Puzzle","1.54","0.1","0","0.02","1.65","1","1","1.00","1"
"Kirby's Return to Dreamland","Wii","2011","Platform","0.58","0.21","0.79","0.07","1.65","77","49","8.50","156"
"Mario Party 6","GC","2004","Misc","0.9","0.11","0.6","0.05","1.65","71","33","7.90","51"
"Super Scope 6","SNES","1991","Shooter","1.06","0.38","0.15","0.05","1.65","1","1","1.00","1"
"Star Wars The Clone Wars: Lightsaber Duels","Wii","2008","Action","1.21","0.3","0","0.14","1.65","56","24","6.70","18"
"Need for Speed Carbon","X360","2006","Racing","0.76","0.69","0.02","0.18","1.65","77","52","6.30","82"
"Heavenly Sword","PS3","2007","Action","0.57","0.72","0.06","0.29","1.65","79","64","8.30","544"
"Dragon Quest V: Tenkuu no Hanayome","PS2","2004","Role-Playing","0","0","1.65","0","1.65","1","1","1.00","1"
"MySims","Wii","2007","Simulation","0.9","0.54","0.04","0.17","1.65","68","38","7.20","56"
"Kirby & the Amazing Mirror","GBA","2004","Platform","0.8","0.05","0.76","0.03","1.64","1","1","1.00","1"
"Army of Two","X360","2008","Shooter","1.09","0.37","0.02","0.16","1.64","72","76","7.60","233"
"Dig Dug","Atari 2600","1982","Puzzle","1.52","0.1","0","0.02","1.64","1","1","1.00","1"
"Tom Clancy's Rainbow Six","PS","1999","Shooter","0.93","0.63","0","0.08","1.64","1","1","1.00","1"
"Ghosts 'n Goblins","NES","1986","Action","0.74","0.26","0.61","0.03","1.64","1","1","1.00","1"
"Tiger Woods PGA Tour 2003","PS2","2002","Sports","0.8","0.63","0","0.21","1.64","88","18","8.90","18"
"NBA Live 06 (All region sales)","PS2","2005","Sports","1.44","0.15","0","0.05","1.64","1","1","1.00","1"
"Prince of Persia: Warrior Within","PS2","2004","Action","0.54","0.88","0","0.22","1.64","83","51","8.50","120"
"Far Cry 4","XOne","2014","Shooter","0.8","0.69","0.01","0.14","1.63","82","15","7.50","383"
"ESPN NFL 2K5","XB","2004","Sports","1.54","0.02","0","0.07","1.63","92","42","9.10","93"
"Beyond: Two Souls","PS3","2013","Adventure","0.52","0.8","0.06","0.26","1.63","70","98","8.10","2652"
"Pikmin","GC","2001","Strategy","0.78","0.25","0.56","0.04","1.63","89","39","8.70","121"
"Tiger Woods PGA Tour 2004","PS2","2003","Sports","1.18","0.34","0","0.1","1.63","89","23","8.80","40"
"NBA 2K15","X360","2014","Sports","1.35","0.11","0","0.17","1.63","1","1","3.00","40"
"Call of Duty: Black Ops","PC","2010","Shooter","0.58","0.81","0","0.23","1.63","81","29","5.20","1651"
"Ape Escape","PS","1999","Platform","0.71","0.48","0.32","0.11","1.63","90","19","8.80","53"
"NCAA Football 2005","PS2","2004","Sports","1.32","0.09","0","0.22","1.62","88","29","8.80","35"
"Max Payne 3","X360","2012","Shooter","0.86","0.62","0.01","0.13","1.62","86","80","7.80","869"
"Viva Pinata","X360","2006","Simulation","0.45","0.95","0.02","0.2","1.62","84","65","8.00","131"
"Tony Hawk's American Wasteland (Old all region sales)","PS2","2005","Sports","0.8","0.63","0.01","0.19","1.62","1","1","1.00","1"
"Kinectimals","X360","2010","Simulation","1.02","0.46","0","0.13","1.62","74","50","3.10","69"
"Kirby Air Ride","GC","2003","Racing","1.01","0.11","0.45","0.04","1.62","61","28","7.90","69"
"LEGO Marvel Super Heroes","PS4","2013","Action","0.59","0.76","0.01","0.26","1.62","83","22","7.70","262"
"Sled Storm","PS","1998","Racing","0.9","0.61","0","0.11","1.62","1","1","1.00","1"
"Destiny","PS3","2014","Shooter","0.68","0.56","0.12","0.25","1.62","1","1","4.50","445"
"Rock Band","PS3","2008","Misc","0.99","0.41","0","0.22","1.62","92","35","8.40","107"
"Dragon Quest IV: Chapters of the Chosen","DS","2007","Role-Playing","0.3","0.02","1.27","0.03","1.62","80","44","7.90","50"
"NFL Street 2","PS2","2004","Sports","0.79","0.62","0","0.21","1.61","77","33","8.70","20"
"Baseball","GB","1989","Sports","0.66","0.27","0.65","0.03","1.61","1","1","1.00","1"
"Yu-Gi-Oh! Duel Monsters","GB","1998","Strategy","0","0","1.61","0.01","1.61","1","1","1.00","1"
"Super Mario Strikers","GC","2005","Sports","0.98","0.38","0.2","0.04","1.61","76","39","8.70","55"
"Buzz! The Music Quiz","PS2","2005","Misc","0","1.18","0","0.43","1.61","1","1","1.00","1"
"Rage","X360","2011","Shooter","0.82","0.6","0.03","0.15","1.6","81","77","6.70","559"
"Mario Hoops 3 on 3","DS","2006","Sports","0.98","0.04","0.49","0.09","1.6","69","40","8.00","37"
"SpongeBob's Atlantis SquarePantis","DS","2007","Action","1.49","0","0","0.11","1.6","64","5","1.00","1"
"Dollar Dash","PS2","2005","Action","1.3","0.23","0","0.07","1.6","1","1","1.00","1"
"F-1 World Grand Prix","N64","1998","Racing","0.46","0.96","0.09","0.08","1.6","1","1","1.00","1"
"River Raid","Atari 2600","1981","Shooter","1.49","0.09","0","0.02","1.6","1","1","1.00","1"
"Just Cause 2","X360","2010","Action","0.59","0.83","0.02","0.17","1.6","81","74","8.00","267"
"Silent Hill","PS","1999","Action","0.71","0.48","0.3","0.1","1.6","86","17","9.20","326"
"Sonic Heroes","GC","2003","Platform","1.05","0.44","0.06","0.04","1.6","72","49","7.80","125"
"Disney Infinity","Wii","2013","Action","1.05","0.41","0","0.14","1.6","1","1","4.20","24"
"ESPN NBA 2K5","PS2","2004","Sports","1.26","0.12","0","0.21","1.59","83","24","7.50","36"
"Diablo","PC","1996","Role-Playing","0.01","1.58","0","0","1.59","94","12","8.70","850"
"Far Cry 2","X360","2008","Action","0.71","0.69","0.02","0.18","1.59","85","75","6.70","288"
"The Legend of Zelda: Twilight Princess","GC","2006","Action","1.15","0.36","0.04","0.04","1.59","96","16","9.20","568"
"Soul Edge","PS","1996","Fighting","0.61","0.41","0.46","0.1","1.59","1","1","1.00","1"
"Mario Bros.","Atari 2600","1982","Platform","1.48","0.09","0","0.02","1.59","1","1","1.00","1"
"Pro Evolution Soccer 2008","PS3","2007","Sports","0.04","1.1","0.32","0.13","1.59","74","19","6.10","47"
"NASCAR 2000","PS","1999","Racing","0.88","0.6","0","0.1","1.59","1","1","1.00","1"
"Pokemon Battle Revolution","Wii","2006","Role-Playing","0.78","0.37","0.3","0.13","1.58","53","34","6.70","106"
"Kingdom Hearts 3D: Dream Drop Distance","3DS","2012","Action","0.88","0.26","0.34","0.1","1.58","75","54","8.20","267"
"Dance Dance Revolution: Hottest Party 2","Wii","2008","Simulation","0.94","0.48","0.01","0.15","1.58","69","8","6.80","6"
"SoulCalibur IV","X360","2008","Fighting","0.92","0.43","0.07","0.15","1.58","85","62","7.90","157"
"Jampack Summer 2K","PS","2000","Misc","0.88","0.6","0","0.1","1.58","1","1","1.00","1"
"Sonic Generations","PS3","2011","Platform","0.6","0.69","0.02","0.26","1.58","76","38","8.20","253"
"Spyro 2: Season of Flame","GBA","2002","Platform","0.85","0.65","0","0.08","1.58","76","18","7.60","13"
"Mario Party 10","WiiU","2015","Misc","0.69","0.53","0.24","0.12","1.58","66","66","6.50","279"
"Devil May Cry 4","PS3","2008","Action","0.58","0.45","0.34","0.2","1.57","84","63","8.20","311"
"Dead Rising 3","XOne","2013","Action","1.06","0.35","0.01","0.15","1.57","78","69","6.80","908"
"Pro Evolution Soccer 2010","PS2","2009","Sports","0.1","0.18","0.12","1.16","1.57","1","1","8.10","15"
"NCAA Football 2002","PS2","2001","Sports","0.77","0.6","0","0.2","1.57","90","18","8.70","24"
"Gears of War: Judgment","X360","2013","Shooter","0.92","0.5","0.03","0.12","1.57","79","81","5.40","779"
"Watch Dogs","XOne","2014","Action","0.9","0.53","0","0.14","1.57","78","15","5.80","712"
"Guitar Hero: On Tour Decades","DS","2008","Misc","0.84","0.57","0","0.16","1.57","72","40","8.00","5"
"FIFA 16","X360","2015","Sports","0.57","0.88","0","0.12","1.57","1","1","2.90","45"
"Madden NFL 15","XOne","2014","Sports","1.31","0.09","0","0.16","1.57","80","19","6.40","138"
"Conflict: Desert Storm","PS2","2002","Shooter","0.98","0.53","0","0.06","1.57","55","10","8.60","45"
"Mario Party 7","GC","2005","Misc","0.95","0.11","0.46","0.04","1.57","64","25","7.90","53"
"Dragon Quest V: Hand of the Heavenly Bride","DS","2008","Role-Playing","0.17","0.02","1.36","0.02","1.57","84","46","8.50","57"
"High School Musical 3: Senior Year","DS","2008","Misc","0.63","0.76","0","0.17","1.56","1","1","1.00","1"
"Smuggler's Run","PS2","2000","Racing","0.77","0.6","0","0.2","1.56","79","21","6.80","18"
"Fight Night Round 3","PS2","2006","Fighting","1.07","0.4","0","0.1","1.56","84","32","8.10","41"
"Need for Speed: Most Wanted","X360","2012","Racing","0.62","0.78","0.01","0.15","1.56","83","54","8.50","134"
"Carnival Games: Mini Golf","Wii","2008","Sports","0.86","0.54","0","0.15","1.56","38","10","5.70","7"
"Donkey Kong Classics","NES","1988","Platform","0.59","0.14","0.81","0.02","1.56","1","1","1.00","1"
"Hannah Montana: Music Jam","DS","2007","Action","1.05","0.36","0","0.15","1.56","1","1","1.00","1"
"Twisted Metal","PS","1995","Action","1.32","0.19","0","0.05","1.56","1","1","1.00","1"
"Final Fight","SNES","1990","Action","0.67","0.17","0.69","0.03","1.56","1","1","1.00","1"
